cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
,,,,,,Pullulanase (starch debranching),Manes.10G051700,,,,,
,,,,,,G6P transporter,,amyloplast transport,,,,
,,,,,,Amyloplast ATP transporter,,,,,,
,,,,,,Plastid phosphorylase (Pho1),,https://www.nature.com/articles/ncomms6110,,,,
,,,cassava4.1_014638m,, SWEET-a ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_015143m,, SWEET-b ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_014650m,, SWEET-c ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_014640m,, SWEET-d,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_028141m,, SWEET-e ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_015602m,, SWEET-f ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_014587m,, SWEET-g,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_015227m,, SWEET-h ,sucrose efflux transporter,,starch biosynthesis,,,,
,,,cassava4.1_006202m,,SUT-a,sucrose transporter,,starch biosynthesis,,,,
,,,cassava4.1_006880m,,SUT-b,sucrose transporter,,starch biosynthesis,,,,
,,,cassava4.1_001840m,,SUT-c,sucrose transporter,,starch biosynthesis,,,,
,,,cassava4.1_001867m,,Susy-a,sucrose synthase,,starch biosynthesis,,,,
,,,cassava4.1_001871m,,Susy-b,sucrose synthase,,starch biosynthesis,,,,
,,,cassava4.1_006979m,,UGPase,UDP-glucose pyrophosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_006414m,,GPI,glucose-6-phosphate isomerase,,starch biosynthesis,,,,
,,,cassava4.1_004332m,,cPGM,phosphoglucomutase (cytosol),,starch biosynthesis,,,,
,,,cassava4.1_009081m,,G6PT-a,glucose-6-phosphate/phosphate translocator,,starch biosynthesis,,,,
,,,cassava4.1_009268m,,G7PT-b,glucose-6-phosphate/phosphate translocator,,starch biosynthesis,,,,
,,,cassava4.1_009055m,,G8PT-c,glucose-6-phosphate/phosphate translocator,,starch biosynthesis,,,,
,,,cassava4.1_005409m,,AGPase-a,ADP glucose pyrophosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_005518m,,AGPase-b,ADP glucose pyrophosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_003800m,,SS-a,starch synthase,,starch biosynthesis,,,,
,,,cassava4.1_004619m,,SS-b,starch synthase,,starch biosynthesis,,,,
,,,cassava4.1_001595m,,SBE-a,starch branching enzyme,,starch biosynthesis,,,,
,,,cassava4.1_001686m,,SBE-b,starch branching enzyme,,starch biosynthesis,,,,
,,,cassava4.1_003773m,,SBE-c,starch branching enzyme,,starch biosynthesis,,,,
,,,cassava4.1_019840m,,SBE-d,starch branching enzyme,,starch biosynthesis,,,,
,,,cassava4.1_004336m,,pPGM,phosphoglucomutase (plastid),,starch biosynthesis,,,,
,,,cassava4.1_002466m,,Pho-a,starch phosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_004717m,,Pho-b,starch phosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_001626m,,Pho-c,starch phosphorylase,,starch biosynthesis,,,,
,,,cassava4.1_008804m,,,major CHO metabolism.degradation..transporter',,sucrose synthesis,,,,
,,,cassava4.1_008825m,,,major CHO metabolism.degradation..transporter',,sucrose synthesis,,,,
,,,cassava4.1_026789m,,,'major CHO metabolism.synthesis.sucrose.FBPase',,sucrose synthesis,,,,
,,,cassava4.1_014243m,,,'major CHO metabolism.synthesis.sucrose.FBPase',,sucrose synthesis,,,,
,,,cassava4.1_011197m,,,'major CHO metabolism.synthesis.sucrose.FBPase',,sucrose synthesis,,,,
,,,cassava4.1_008177m,,,'major CHO metabolism.synthesis.sucrose.SPP',,sucrose synthesis,,,,
,,,cassava4.1_000839m,,,'major CHO metabolism.synthesis.sucrose.SPS',,sucrose synthesis,,,,
,,,cassava4.1_010561m,,,Aldolase superfamily protein,,Calvin cycle,,,,
,,,cassava4.1_009140m,,,fructose-bisphosphate aldolase 2,,Calvin cycle,,,,
,,,cassava4.1_009143m,,,fructose-bisphosphate aldolase 2,,Calvin cycle,,,,
,,,cassava4.1_008668m,,,high cyclic electron flow 1,,Calvin cycle,,,,
,,,cassava4.1_007476m,,,glyceraldehyde-3-phosphate dehydrogenase B subunit,,Calvin cycle,,,,
,,,cassava4.1_007468m,,,glyceraldehyde-3-phosphate dehydrogenase B subunit,,Calvin cycle,,,,
,,,cassava4.1_008960m,,,glyceraldehyde 3-phosphate dehydrogenase A subunit 2,,Calvin cycle,,,,
,,,cassava4.1_008965m,,,glyceraldehyde 3-phosphate dehydrogenase A subunit 2,,Calvin cycle,,,,
,,,cassava4.1_006596m,,,phosphoglycerate kinase 1,,Calvin cycle,,,,
,,,cassava4.1_006605m,,,phosphoglycerate kinase 1,,Calvin cycle,,,,
,,,cassava4.1_008849m,,,phosphoribulokinase,,Calvin cycle,,,,
,,,cassava4.1_008894m,,,phosphoribulokinase,,Calvin cycle,,,,
,,,cassava4.1_013281m,,,"Ribose 5-phosphate isomerase, type A protein",,Calvin cycle,,,,
,,,cassava4.1_013479m,,,D-ribulose-5-phosphate-3-epimerase,,Calvin cycle,,,,
,,,cassava4.1_006796m,,,rubisco activase,,Calvin cycle,,,,
,,,cassava4.1_006803m,,,rubisco activase,,Calvin cycle,,,,
,,,cassava4.1_017170m,,,ribulose bisphosphate carboxylase small chain 1A,,Calvin cycle,,,,
,,,cassava4.1_017243m,,,Ribulose bisphosphate carboxylase (small chain) family protein,,Calvin cycle,,,,
,,,cassava4.1_009395m,,,sedoheptulose-bisphosphatase,,Calvin cycle,,,,
,,,cassava4.1_009376m,,,sedoheptulose-bisphosphatase,,Calvin cycle,,,,
,,,cassava4.1_012016m,,,triosephosphate isomerase,,Calvin cycle,,,,
,,,cassava4.1_002307m,,,Transketolase,,Calvin cycle,,,,
,,,,,DXS,,Manes.03G017900,Carotenoid synthesis,,Chromosome03:1465554-1472830 reverse,,
,,,,,MCT,,Manes.08G116100,Carotenoid synthesis,,Chromosome08:28138536-28141510 reverse,,
,,,,,DXR,,Manes.06G104700,Carotenoid synthesis,,Chromosome06:21452419-21457115 forward,,
,,,,,CMK,,Manes.02G134400,Carotenoid synthesis,,Chromosome02:9889332-9894740 forward,,
,,,,,MDS,,Manes.02G017800,Carotenoid synthesis,,Chromosome02:1462869-1466259 reverse,,
,,,,,HDS,,Manes.04G021700,Carotenoid synthesis,,Chromosome04:2330931-2337998 reverse,,
,,,,,HDR,,Manes.15G147700,Carotenoid synthesis,,Chromosome15:11538796-11542217,,
,,,,,IDI,,Manes.13G005300,Carotenoid synthesis,,Chromosome13:689988-693677,,
,,,,,GGPS1,,Manes.12G098600,Carotenoid synthesis,,Chromosome12:19504527-19506486,,
,,,,,GGPS10,,Manes.01G117500,Carotenoid synthesis,,Chromosome01:23657031-23658354 reverse,,
,,,,,GGR,,Manes.11G098400,Carotenoid synthesis,,Chromosome11:16636226-16638742 reverse,,
,,,,,PSY,,Manes.01G124200,Carotenoid synthesis,,Chromosome01:24153420-24156720,,
,,,,,PDS,,Manes.16G135300,Carotenoid synthesis,,Chromosome16:28528877-28530360,,
,,,,,PDS3,,Manes.05G193700,Carotenoid synthesis,,Chromosome05:26661999-26675128,,
,,,,,ZISO,,Manes.01G001200,Carotenoid synthesis,,Chromosome01:252121-254765,,
,,,,,ZDS,,Manes.08G128100,Carotenoid synthesis,,Chromosome08:29360970-29368772 reverse,,
,,,,,CRITSO,,Manes.08G037100,Carotenoid synthesis,,Chromosome08:3396806-3402102,,
,,,,,CRITSO2,,Manes.07G025600,Carotenoid synthesis,,Chromosome07:2386383-2390737reverse,,
,,,,,LCYB,,Manes.09G008200,Carotenoid synthesis,,Chromosome09:1673410-1676648reverse strand,,
,,,,,LEC,,Manes.16G099600,Carotenoid synthesis,,Chromosome16:25581180-25586577 reverse,,
,,,,,CHY1,,Manes.06G152200,Carotenoid synthesis,,Chromosome06:25556654-25558943 reverse,,
,,,,,CHY2,,Manes.02G018300,Carotenoid synthesis,,Chromosome02:1492088-1493427,,
,,,,,LUT5,,Manes.09G183600,Carotenoid synthesis,,Chromosome09:29032268-29039339 reverse,,
,,,,,LUT1,,Manes.09G075500,Carotenoid synthesis,,Chromosome09:11803466-11811199 reverse,,
,,,,,CYP97C1,,Manes.08G016300,Carotenoid synthesis,,Chromosome08:1520142-1524997,,
,,,,,ZEP,,Manes.13G124100,Carotenoid synthesis,,Chromosome13:25101072-25107643,,
,,,,,VDE,,Manes.09G144600,Carotenoid synthesis,,Chromosome09:26239634-26243409 reverse,,
,,,,,NSY,,Manes.02G068600,Carotenoid synthesis,,Chromosome02:5122509-5125589,,
,,,,,CCD,,Manes.10G141300,Carotenoid synthesis,,Chromosome10:25249342-25255513,,
,,,,,CCD2,,Manes.17G071200,Carotenoid synthesis,,Chromosome17:21044733-21047013,,
,,,,,NCED3,,Manes.03G083500,Carotenoid synthesis,,Chromosome03:13377142-13379442,,
,,,,,NCED4,,Manes.15G183500,Carotenoid synthesis,,Chromosome15:21175720..21177753,,
,,,,,NCED5,,Manes.17G071200,Carotenoid synthesis,,Chromosome17:21044840..21046654,,
,,,,,NCED6,,Manes.03G150400,Carotenoid synthesis,,Chromosome03:24571552-24573342,,
,,,,,CCD7,,Manes.05G051700,Carotenoid synthesis,,Chromosome05:3869181..3872232,,
,,,,,CCD8,,Manes.16G075700,Carotenoid synthesis,,Chromosome16:23061820-23065316 reverse,,
,,,,,NCED9,,Manes.15G102000,Carotenoid synthesis,,Chromosome15:7576697..7578484,,
,,,,,ABA2,,Manes.04G164700,Carotenoid synthesis,,Chromosome04:28544949-28546993 reverse,,
,,,,,AAO3,,Manes.04G051100,Carotenoid synthesis,,Chromosome04:8019081..8027427,,
,,,,,AAO3,,Manes.04G051100,Apocarotenoid synthesis,,Chromosome04: 8019039.. 8027427 forward,,
,,,,,ABA2,,Manes.04G164700,Apocarotenoid synthesis,,Chromosome04: 28544949.. 28546993 reverse,,
,,,,,CCD1,,Manes.10G141300,Apocarotenoid synthesis,,Chromosome10: 25249342..25255513 forward,,
,,,,,CCD2,,Manes.17G071200,Apocarotenoid synthesis,,Chromosome17:21044733..21047013 forward,,
,,,,,CCD3,,Manes.03G083500,Apocarotenoid synthesis,,Chromosome03:13377142..13379442 forward,,
,,,,,CCD4,,Manes.15G183500,Apocarotenoid synthesis,,Chromosome15:21175711..21177741 reverse,,
,,,,,CCD6,,Manes.03G150400,Apocarotenoid synthesis,,Chromosome03:24571552..24573342 forward,,
,,,,,CCD7 or MAX3,,Manes.05G051700,Apocarotenoid synthesis,,Chromosome05:3869031.. 3872259 reverse,,
,,,,,CCD8,,Manes.16G075700,Apocarotenoid synthesis,,Chromosome16:23061820..23065316 reverse,,
,,,,,CCD9,,Manes.15G102000,Apocarotenoid synthesis,,Chromosome15:7576697.. 7578484 reverse,,
,,,,,CYP707A1,,Manes.07G081100,Apocarotenoid synthesis,,Chromosome07:18197498..18200195 reverse,,
,,,,,CYP707A2,,Manes.02G130400,Apocarotenoid synthesis,,Chromosome02:9558776..9563166 forward,,
,,,,,CYP707A3,,Manes.07G081100,Apocarotenoid synthesis,,Chromosome07:18197498..18200195 reverse,,
,,,,,CYP707A4,,Manes.07G077900,Apocarotenoid synthesis,,Chromosome07:16863861..16867075 reverse,,
,,,,,CYP711A1 or MAX 1,,Manes.16G081600,Apocarotenoid synthesis,,,,
,,,,,BZIP,"Regulation of transcription, response to GA&ABA mediated signalling pathway, regulation of photomorphogenesis",,Transcription factor,,,DXS,Nucleus
,,,,,DOF,"Regulation of transcription, seed coat development",,Transcription factor,,,"MCT, ZDS, NSY, AAO3, CGT",Unknown
,,,,,NIN- LIKE,"Response to water deprivation, stomatal movement, response to nitrate",,Transcription factor,,,"DXR, NCED9",Nucleus
,,,,,MYB,Regulation of transcription,,Transcription factor,,,"CMK, NCED3",
,,,,,MIKC-MADS,"Response to cold, response to gibberellin, positive regulation of floral development",,Transcription factor,,,"ABA2, LYC, HDS, NMT",Nucleus and cytoplasm
,,,,,GRAS,"Response to ethylene, jasmonic acid and ABA, negative regulation of GA mediated signalling pathway, negative regulation of seed germination",,Transcription factor,,,"HDR, AP2",Nucleus
,,,,,AP2,Regulation of transcription,,Transcription factor,,,"ZCO, VDE, LUT5, IDI",Unknown
,,,,,C2H2,Unknown,,Transcription factor,,,"GGPS1, PSY",Nucleolus
,,,,,BBR-BPC,"Regulation of transcription, response to ethylene, regulation of development",,Transcription factor,,,"PSY3, PSY4, PDS3, GGPS7, LUT1, NCED2, ADH",Nucleus
,,,,,TALE,Regulation of transcription,,Transcription factor,,,"ZISO, CHY2",Nucleus
,,,,,TCP,"Regulation of cell size, root development, negative regulation of leaf senescence",,Transcription factor,,,CRITSO,Nucleus
,,,,,BHLH,"Regulation of stomatal movement, regulation of cuticle development, regulation of flowering",,Transcription factor,,,"NCED6, CRITSO2, CCD7",Nucleus
,,,,,ERF,"Response to water deprivation, response to ABA, negative regulation of transcription",,Transcription factor,,,"NCED4, CHY1",Nucleus
,,,,,BES1,"Brassinosteroid mediated signalling pathway, negative regulation of transcription, seed development, plant ovule development",,Transcription factor,,,CYP97B3,Nucleus and cytosol
,,,,,MYB RELATED,"Response to salt stress, GA, ABA, JA and auxin, response to cadmium ion, photoperiodism and flowering",,Transcription factor,,,CCD8,Unknown
,,,,,FAR 1,"Far red-light signalling pathway, positive regulation of circadian rhythm, positive regulation of transcription",,Transcription factor,,,NCED5,Nucleus
,,,,,GATA,Regulation of transcription,,Transcription factor,,,"LCO, CMGT, CMEGT",Unknown
