cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
003916_003916,2.4.1.21,starch synthase,cassava4.1_003916m,2.4.1.242,,UDP-Glycosyltransferase superfamily protein,,Starch synthesis,,,,
004619_004619,2.4.1.21,starch synthase,cassava4.1_004619m,2.4.1.21,,"Glycogen/starch synthases, ADP-glucose type",,Starch synthesis,,,,
028098_028098,2.4.1.21,starch synthase,cassava4.1_028098m,,,starch synthase 2,,Starch synthesis,,,,
001086_001086,2.4.1.25,glucanotransferase,cassava4.1_001086m,2.4.1.25,,disproportionating enzyme 2,,Starch synthesis,,,,
005745_005745,2.7.1.1,hexokinase,cassava4.1_005745m,,,hexokinase 1,,Starch synthesis,,,,
005907_005907,2.7.1.1,hexokinase,cassava4.1_005907m,2.7.1.1,,hexokinase-like 1,,Starch synthesis,,,,
005952_005952,2.7.1.1,hexokinase,cassava4.1_005952m,2.7.1.1,,hexokinase-like 1,,Starch synthesis,,,,
006138_006138,2.7.1.1,hexokinase,cassava4.1_006138m,2.7.1.1,,hexokinase 1,,Starch synthesis,,,,
006251_006251,2.7.1.1,hexokinase,cassava4.1_006251m,,,hexokinase 2,,Starch synthesis,,,,
007221_007221,2.7.1.1,hexokinase,cassava4.1_007221m,2.7.1.1,,hexokinase 3,,Starch synthesis,,,,
007221_011831,2.7.1.1,hexokinase,cassava4.1_011831m,,,hexokinase 3,,Starch synthesis,,,,
006057_006057,2.7.1.4,fructokinase,cassava4.1_006057m,,,fructokinase-like 1,,Starch synthesis,,,,
009589_009589,2.7.1.4,fructokinase,cassava4.1_009589m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
010970_010970,2.7.1.4,fructokinase,cassava4.1_010970m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
011578_011578,2.7.1.4,fructokinase,cassava4.1_011578m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
011584_011584,2.7.1.4,fructokinase,cassava4.1_011584m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
011584_012996,2.7.1.4,fructokinase,cassava4.1_012996m,,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
023836_023836,2.7.1.4,fructokinase,cassava4.1_023836m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
032783_032783,2.7.1.4,fructokinase,cassava4.1_032783m,2.7.1.4,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
033797_033797,2.7.1.4,fructokinase,cassava4.1_033797m,,,pfkB-like carbohydrate kinase family protein,,Starch synthesis,,,,
034246_034246,2.7.1.4,fructokinase,cassava4.1_034246m,,,fructokinase-like 2,,Starch synthesis,,,,
