Extr Set Date,tube_ID,Phytoene,Phytofluene,Zeta Carotene, Beta Carotene,Violaxanthin peak 1,Violaxanthin peak 2,Lutein,,,,
6202024,132,0,0,0,1422.07,87.15,138.61,127.54,,,,
6202024,133,1074.62,650.92,509.86,15488.41,183.76,235.1,151.23,,,,
6202024,134,284.97,161.81,169.05,12908.98,202.32,310.73,308.58,,,,
6202024,144,254.82,138.14,94.92,7723.55,414.99,487.88,1187.35,,,,
6202024,145,1711.28,922.96,687.72,18379.37,134.91,161.21,45.73,,,,
6202024,146,600.73,367.14,383.34,11885.27,121.62,178.74,0,,,,
6202024,147,969.83,604.4,646.55,18790.15,137.91,177.55,165.83,,,,
6202024,148,419.11,246.82,265.17,10896.2,159.96,219.3,80.84,,,,
6202024,150,1206.29,799.2,1245.98,23906.9,144.02,215.62,73.82,,,,
6202024,151,13.13,0,0,800.33,81.08,98,44.63,,,,
6202024,152,0,0,0,765.3,46.2,68.7,32.1,,,,
6202024,153,27.3,0,0,1064.1,104.1,132.3,67.8,,,,
6202024,154,0,0,0,891.72,59.37,84.13,45.65,,,,
6202024,155,14.29,0,0,635.12,67.74,80.32,50.59,,,,
6202024,156,0,0,0,414.91,45.85,71.8,36.91,,,,
6202024,157,237.88,141.57,104.09,7527.23,217.98,360.71,80.73,,,,
6202024,161,241.24,140.14,72.17,4705.36,178.61,284.2,37.07,,,,
6202024,162,69.16,41.16,24.36,3191.44,135.24,203.84,0,,,,
6202024,163,417.91,222.43,119.93,7033.44,355.57,541.54,805.97,,,,
6202024,164,115.88,53.83,41.08,5563.53,179.63,271.43,419.05,,,,
6202024,167,517.61,235.4,111.82,8265.48,457.69,609.37,928.23,,,,
6202024,168,234.24,97.3,54.6,7360.26,166.23,227.84,349.23,,,,
6202024,279,163.59,78.2,55.78,7163.35,256.74,419.18,265.36,,,,
6202024,280,212.84,102.3,47.17,7752.07,244.38,387.32,161.41,,,,
6202024,286,0,0,0,1590.29,100.84,144.21,186.46,,,,
6202024,290,140.52,69.52,73.37,8280.38,226.9,324.53,81.95,,,,
6202024,323,273,153.29,127.83,10828.46,224.79,268.13,539.23,,,,
6202024,325,987.46,601.52,322.02,7880.98,161.69,192.02,42.79,,,,
6202024,326,282.99,176.21,120.61,6080.13,155.32,219.15,0,,,,
6202024,329,1736.1,1023.88,500.14,9468.45,118.95,124.17,91.39,,,,
6202024,330,721.03,430.85,297.07,6312.72,141.5,162.19,0,,,,
6202024,332,383.96,259.55,335.82,11273.17,81.2,100.92,91.64,,,,
6202024,333,1432.73,860.53,669.33,12488.61,147.08,175.1,204.8,,,,
6202024,335,1269.75,726.65,589.26,11045.94,114.04,143.83,115.12,,,,
6202024,337,1602.45,913.41,664.47,11493.63,97.74,116.64,245.7,,,,
6202024,340,830.07,458.55,414.61,14044.75,105.63,145.34,160.55,,,,
6202024,343,346.89,183.39,113.09,8763.06,517.21,696.24,1616.2,,,,
6202024,348,90.98,53.24,41.12,3992.06,209,247.59,768.39,,,,
6202024,349,2443.93,1477.3,1826.55,25625.05,109.73,134.75,32.73,,,,
6202024,350,160.11,107.16,179.23,4886.43,0,32.27,0,,,,
6202024,351,1580.02,974.63,1135.09,24444.73,80.23,100.57,127.13,,,,
6202024,353,1294.76,770.4,781.71,17612.23,87.44,152.81,103.99,,,,
6202024,355,1211.31,979.18,643.23,10192.01,68.75,74.59,0,,,,
6202024,356,293.19,173.71,122.96,0,52.49,74.24,0,,,,
6202024,357,960.1,754.27,577.42,9346.73,63.92,86.13,0,,,,
6202024,358,NA,NA,NA,NA,NA,NA,NA,,,,
6202024,360,228.28,164.74,148.06,5285.69,83.38,115.58,0,,,,
6202024,S6,244.67,122.47,17.23,3358.61,123.28,186.26,36.07,,,,
6202024,S7,263.63,135.66,17.39,3552.89,132.53,192.09,45.6,,,,
6252024,61,48.07,24.23,12.11,2043.4,60.34,72.91,54.74,,,,
6252024,62,79.63,35.29,29.17,5944.75,183.17,249.67,250.25,,,,
6252024,63,76.28,38.7,26.56,4417.45,155.66,212.72,127.69,,,,
6252024,64,31.42,13.73,16.78,2928.92,90.89,125.36,71.68,,,,
6252024,65,82.65,46.42,34.08,6807.62,320.12,446.51,379.96,,,,
6252024,66,30.8,0,17.92,4427.08,205.8,252.84,168.84,,,,
6252024,122,624.23,332.32,145.82,6092.74,145.29,193.11,27.47,,,,
6252024,123,724.13,517.58,343.46,10079.34,139.03,180.24,47.05,,,,
6252024,124,406.3,245.52,168.13,6343.26,116.63,161.87,38.15,,,,
6252024,125,785.96,508.9,263.79,8488.46,162.5,225.6,72.58,,,,
6252024,127,0,0,0,1441.99,122.29,168.49,351.92,,,,
6252024,129,20.44,14.72,5.72,835.49,106.82,154.78,117.18,,,,
6252024,135,435.82,230.94,103.23,5588.99,155.37,194.08,49.24,,,,
6252024,136,132.32,70.55,55.25,7584.27,159.8,206.27,94.92,,,,
6252024,137,442.78,244.28,129.96,6566.57,127.21,166.69,99.25,,,,
6252024,138,205.38,118.09,102.27,6610.22,158.48,226,91.25,,,,
6252024,139,224.1,126.9,76.68,6622.02,384.75,572.94,398.79,,,,
6252024,140,196.37,106.59,70.11,5957.93,313.5,369.08,468.26,,,,
6252024,141,152.54,86.06,53.79,4855.22,331.83,452.92,419.27,,,,
6252024,142,136.88,74.63,52.88,5209.88,236.63,282,616.5,,,,
6252024,143,234.47,129.73,82.69,6282.41,304.66,412.7,873.18,,,,
6252024,149,1642.41,1001.97,709.44,16264.6,155.55,184.08,146.6,,,,
6252024,165,116.91,55.17,24.31,2305.35,255.81,294.01,148.16,,,,
6252024,385,75.68,42.22,28.68,7230.15,162.12,148.18,458.08,,,,
6252024,409,2162.47,1165.81,880.91,14905.76,80.93,81.26,89.22,,,,
6252024,414,268.9,132.73,116.66,8903.45,95.24,114.75,74.97,,,,
6252024,415,1488.34,812.46,621.68,9851.28,123.02,118.85,180.35,,,,
6252024,416,371.79,211.21,229.66,7636.23,56.06,58.23,53.53,,,,
6252024,425,168.22,89.51,33.57,3992.99,126.17,173.63,212.21,,,,
6252024,426,113.19,55.23,28.59,5190.76,148.05,182.91,438.28,,,,
6252024,430,79.35,34.12,32.2,4723.82,101.2,140.3,176.33,,,,
6252024,438,345.89,175.48,104.74,4126.03,46.51,46.12,0,,,,
6252024,440,268.86,141.06,152.24,12320.7,120.11,146.3,164.11,,,,
6252024,442,344.28,183.14,221.81,11600.23,99.34,127.02,115.65,,,,
6252024,444,231.18,116.7,131.94,9914.95,140.12,156.47,99.61,,,,
6252024,447,0,0,0,1141.18,76.67,94.68,151.03,,,,
6252024,448,0,0,0,359.51,13.18,21.83,43.17,,,,
6252024,450,0,0,0,1491.36,70.59,88.92,46.02,,,,
6252024,451,74.4,34.99,0,1247.55,81.4,107.92,28.36,,,,
6252024,459,98.95,50.52,22.13,1827.4,84.75,91.85,0,,,,
6252024,461,171.97,86.8,28.12,1506.94,76.2,101.06,0,,,,
6252024,464,295,172.28,173.07,6700.43,38.55,47.59,0,,,,
6252024,465,721.57,457.94,322.89,8809.64,77.94,93.02,213.35,,,,
6252024,468,542.03,302.95,254.41,7066.04,51.83,60.23,41.98,,,,
6252024,469,159.31,97.02,83.81,6833.88,98.53,132.13,108.72,,,,
6252024,480,808.32,498.96,599.17,12964.91,240.58,214.74,549.59,,,,
6252024,S8,144.66,85.97,11.35,2634.69,96.92,110.88,27.51,,,,
6252024,S9,206.59,105.86,13.83,3665.6,127.98,162.74,30.02,,,,
6272024,410,686.34,393.16,527.31,12610.34,61.38,75.1,92.3,,,,
6272024,413,493.95,255.28,161.84,8282.98,83.09,99.22,300.8,,,,
6272024,422,196.49,90.41,49.74,4974.48,142.35,191.84,421.65,,,,
6272024,427,207.77,124.43,67.52,3899.24,97.79,106.59,54.65,,,,
6272024,428,143.16,76.16,64.99,6419.49,193.41,230.26,95.81,,,,
6272024,429,144.39,77.75,51,4949.04,112.2,137.59,147.56,,,,
6272024,432,70.32,34.2,19.85,3943.14,114.56,141.11,179.14,,,,
6272024,433,906.38,556.75,301.73,6912.14,69.83,73.88,0,,,,
6272024,436,227,94,45.75,3658.5,47.5,47,0,,,,
6272024,437,1092.74,695.16,390.21,7139.73,65.55,63.89,0,,,,
6272024,441,1169.37,612.38,508.31,14360.78,157.23,191.84,361.35,,,,
6272024,443,600.4,304.18,193.89,6756.18,59.48,73.53,186.63,,,,
6272024,446,15.35,0,0,1629.83,48.59,71.38,137.64,,,,
6272024,456,0,0,0,740.7,40.81,53.59,15.24,,,,
6272024,458,17.82,0,0,1789.18,108.65,127.71,0,,,,
6272024,462,30.09,18.01,14.06,2170.42,111.74,129.25,0,,,,
6272024,466,312.61,173.75,161.11,6424.36,60.88,76.1,147.76,,,,
6272024,467,891.59,530.71,266.03,8363.96,71.82,80.17,165.54,,,,
6272024,471,152.49,84.1,67.43,4798.29,87.97,121.32,48.09,,,,
6272024,473,169.33,91.27,56.6,3499.53,98.11,116.97,64.62,,,,
6272024,474,64.95,33.7,30.77,5553.57,81.06,101.09,24.91,,,,
6272024,476,535.21,334.19,402.73,8877.77,121.9,161,351.21,,,,
6272024,477,1490.78,1064.59,837.96,7764.37,93.88,113.75,180.56,,,,
6272024,S10,142.58,71.78,9.88,2450.41,81.13,98.5,24.09,,,,
7022024,49,40.95,22.95,16.95,1184.18,81.38,131.72,0,,,,
7022024,50,0,0,0,865.23,83.66,111.29,0,,,,
7022024,51,210.54,115.71,62.34,1593.98,44.38,112.01,0,,,,
7022024,52,0,0,0,856.54,59.39,78.38,0,,,,
7022024,53,29.96,14.98,16.59,1122.97,48.69,104.59,0,,,,
7022024,54,0,0,0,777.6,54.93,82.67,0,,,,
7022024,55,872.03,445.23,269.18,6812.07,217.28,360.6,179.94,,,,
7022024,56,228.38,114.45,79.54,4178.21,211.05,289.01,0,,,,
7022024,57,673.99,350.92,202.92,5553.7,160.28,242.31,55.43,,,,
7022024,58,316.15,165.1,111.3,4334.08,133.03,218.1,50.62,,,,
7022024,60,315.41,167.68,152.91,7539.68,249.84,352.73,158.61,,,,
7022024,67,61.36,22.88,0,1234.48,153.92,192.66,96.46,,,,
7022024,68,25.74,10.4,0,1518.14,165.88,241.8,86.84,,,,
7022024,69,20.15,0,0,917.6,120.13,157.58,44.69,,,,
7022024,70,0,0,0,479.52,70.47,95.31,26.73,,,,
7022024,71,0,0,0,645.58,116.51,141.31,31.26,,,,
7022024,72,0,0,0,706.91,92.14,125.48,53.29,,,,
7022024,73,1010.95,533.28,354.84,8996.28,209.35,326.77,44.55,,,,
7022024,74,532.62,326.3,563.4,12683.02,138.5,175.54,0,,,,
7022024,75,505.22,278.5,236.26,8561.41,122.08,183.67,43.87,,,,
7022024,76,191.43,103.41,83.43,5659.74,83.43,115.56,35.37,,,,
7022024,77,509,313.33,372.16,11259.76,93.04,137.36,54.17,,,,
7022024,79,737.96,367.08,230.03,8322.51,137.05,203.68,92.47,,,,
7022024,80,197.07,117.82,106.2,6769.27,99.86,138.69,72.12,,,,
7022024,81,681.86,380.99,319.29,8982.14,158.33,235.58,184.4,,,,
7022024,82,208.37,130.88,141.76,7781.22,124.4,166.13,129.07,,,,
7022024,83,850.21,446.03,213.16,7159.11,229.46,297.11,88.82,,,,
7022024,84,255.84,133.9,78.78,4994.08,186.42,246.48,100.1,,,,
7022024,85,627.52,379.13,241.98,8921.69,120.87,177.35,0,,,,
7022024,86,454.3,285.67,259.88,7739.7,58.64,78.11,37.23,,,,
7022024,87,788.26,484.98,310.18,8455,135.14,172.9,22.8,,,,
7022024,88,558.5,343.69,257.52,7297.52,51.41,75,29.55,,,,
7022024,91,380.78,190.92,64.25,4490.89,158.26,214.88,24.49,,,,
7022024,92,99.38,49.69,17.87,2187.27,104.13,149.35,0,,,,
7022024,93,248.85,132.88,60.23,4828.44,155.07,186.77,0,,,,
7022024,94,63.06,33.27,0,2447.2,113.24,133.09,0,,,,
7022024,95,144.97,70.04,23.18,3161.33,136.99,181.02,0,,,,
7022024,96,45.54,22.26,0,1662.15,123.82,143.27,0,,,,
7022024,97,1388.82,726.88,63.14,2794.33,165.29,229.97,71.35,,,,
7022024,98,165.79,89.85,29.3,2036.59,119.4,148.7,70.08,,,,
7022024,99,1017.31,547.88,101.7,5538.25,390.44,598.34,211.6,,,,
7022024,103,0,0,0,560.4,134.81,227.03,25.31,,,,
7022024,105,0,0,0,867.38,129.93,150.5,44.65,,,,
7022024,107,12.96,0,0,615.69,85.22,124.58,63.79,,,,
7022024,111,166.85,79.38,31.36,3721.8,178.12,210.46,27.2,,,,
7022024,117,131.92,71.79,41.47,3481.13,178.31,225.22,39.65,,,,
7022024,S11,190.09,71.66,10.42,3207.22,130.05,169.07,41.82,,,,
7022024,S12,164.2,78.24,7.48,2830.28,111.63,103.09,33.39,,,,
7082024,59,746.22,395.16,245.72,5975.02,143.95,200.44,71.98,,,,
7082024,78,207.62,137.72,179.98,7511.48,68.6,94.94,34.95,,,,
7082024,89,578.81,350.96,218.4,7786.28,125.21,157.5,0,,,,
7082024,199,76.64,32.37,0,918.53,54.5,97.66,0,,,,
7082024,200,0,0,0,1716.75,71.4,88.29,0,,,,
7082024,201,28.77,0,0,862.51,48.21,66.09,0,,,,
7082024,202,0,0,0,1220.52,48.16,65.52,0,,,,
7082024,203,52.91,30.98,21.93,1316,58.4,87.73,0,,,,
7082024,204,0,0,0,1192.5,43.2,61.22,0,,,,
7082024,205,192.78,92.31,40.55,4723.37,173.15,205.53,69.62,,,,
7082024,206,102.9,51.98,36.75,7230.3,196.35,237.3,112.09,,,,
7082024,207,288.36,148.72,69.19,5981.47,177,276.49,68.43,,,,
7082024,208,131.75,62.5,41,6210.25,209.25,288.25,49.5,,,,
7082024,209,335.07,146.96,55.3,4891.94,143.42,219.42,60.85,,,,
7082024,210,103.19,47.13,27.63,5152.6,156.27,175.77,25.73,,,,
7082024,212,235.71,165.63,155.2,5103.9,146.23,161.75,0,,,,
7082024,213,732.09,449.24,225.98,5676.9,82.7,101.82,0,,,,
7082024,215,746.44,485.03,225.53,5378.86,68.16,92.32,0,,,,
7082024,216,318.03,210.98,194.06,4849.53,90.63,110.44,0,,,,
7082024,217,396.17,182.32,88.83,5451.26,128.58,172.18,248.12,,,,
7082024,218,185.33,90.3,58.54,5444.51,82.69,155.93,113.66,,,,
7082024,219,260.87,116.79,37.74,2281.74,85.17,122.66,88.49,,,,
7082024,221,175.5,76.14,28.89,4492.53,176.58,205.74,185.49,,,,
7082024,222,72.05,31.9,16.23,4257.83,138.33,204.05,157.3,,,,
7082024,224,40.03,20.01,0,3207.2,124.75,183.69,48.25,,,,
7082024,225,120.2,56.8,23.51,3379.48,156.39,197.07,79.25,,,,
7082024,226,29.88,0,0,2871.35,130.23,159.84,55.66,,,,
7082024,227,119.99,52.35,17.36,2537.24,149.02,191.27,42.24,,,,
7082024,229,256.41,142.19,72.89,4538.38,171.2,215.86,48.77,,,,
7082024,230,127.32,71.76,54.32,5053.85,139.78,172.92,45.6,,,,
7082024,231,154.7,103.74,54.6,3771.04,154.44,189.02,43.94,,,,
7082024,232,117.6,65.33,54.13,6625.07,162.67,239.47,100.8,,,,
7082024,233,85.91,49.86,23.66,1792.25,74.92,86.75,0,,,,
7082024,234,71.87,43.63,30.54,3857.19,130.39,162.98,29.77,,,,
7082024,235,610.6,306.08,129.58,4475.81,166.64,207.33,60.39,,,,
7082024,236,159.88,96.04,73.08,5610.36,126.84,164.08,89.32,,,,
7082024,237,1049.53,553.93,327.83,9656.97,160.53,209.07,284.43,,,,
7082024,238,345.09,203.01,171.43,10551.66,197.58,256.78,257.03,,,,
7082024,239,656.51,355.07,154.03,5867.44,131.4,148.43,121.24,,,,
7082024,240,281.26,163.42,118.34,6183.31,153.62,196.98,138.18,,,,
7082024,246,194.11,112.41,115.15,4767.76,102.54,137.91,191.92,,,,
7082024,327,696.29,454.7,302.98,6472.85,75.75,94.96,45.49,,,,
7082024,421,187.97,95,41.04,3531.97,136.8,185.95,168.72,,,,
7082024,431,141.53,79.31,37.49,4911.3,133.62,165.24,207.06,,,,
7082024,460,16.78,0,0,1991.55,85.8,111.38,0,,,,
7082024,472,0,0,0,4741.91,70.76,90.63,0,,,,
7082024,S13,184.39,89.55,9.25,3234.46,116.5,153.22,44.12,,,,
7082024,S14,188.68,98.32,10.6,3101.03,107.06,131.18,31.54,,,,
7112024,90,52.91,30.98,21.93,1316,58.4,87.73,0,,,,
7112024,159,175.5,76.14,28.89,4492.53,176.58,205.74,185.49,,,,
7112024,160,16.78,0,0,1991.55,85.8,111.38,0,,,,
7112024,166,40.03,20.01,0,3207.2,124.75,183.69,48.25,,,,
7112024,169,28.77,0,0,862.51,48.21,66.09,0,,,,
7112024,170,610.6,306.08,129.58,4475.81,166.64,207.33,60.39,,,,
7112024,171,256.41,142.19,72.89,4538.38,171.2,215.86,48.77,,,,
7112024,173,187.97,95,41.04,3531.97,136.8,185.95,168.72,,,,
7112024,174,103.19,47.13,27.63,5152.6,156.27,175.77,25.73,,,,
7112024,175,154.7,103.74,54.6,3771.04,154.44,189.02,43.94,,,,
7112024,176,656.51,355.07,154.03,5867.44,131.4,148.43,121.24,,,,
7112024,178,207.62,137.72,179.98,7511.48,68.6,94.94,34.95,,,,
7112024,179,288.36,148.72,69.19,5981.47,177,276.49,68.43,,,,
7112024,180,281.26,163.42,118.34,6183.31,153.62,196.98,138.18,,,,
7112024,182,159.88,96.04,73.08,5610.36,126.84,164.08,89.32,,,,
7112024,183,746.44,485.03,225.53,5378.86,68.16,92.32,0,,,,
7112024,184,194.11,112.41,115.15,4767.76,102.54,137.91,191.92,,,,
7112024,187,578.81,350.96,218.4,7786.28,125.21,157.5,0,,,,
7112024,188,732.09,449.24,225.98,5676.9,82.7,101.82,0,,,,
7112024,191,0,0,0,4741.91,70.76,90.63,0,,,,
7112024,192,185.33,90.3,58.54,5444.51,82.69,155.93,113.66,,,,
7112024,193,1049.53,553.93,327.83,9656.97,160.53,209.07,284.43,,,,
7112024,194,119.99,52.35,17.36,2537.24,149.02,191.27,42.24,,,,
7112024,195,318.03,210.98,194.06,4849.53,90.63,110.44,0,,,,
7112024,196,131.75,62.5,41,6210.25,209.25,288.25,49.5,,,,
7112024,197,141.53,79.31,37.49,4911.3,133.62,165.24,207.06,,,,
7112024,198,746.22,395.16,245.72,5975.02,143.95,200.44,71.98,,,,
7112024,242,0,0,0,1716.75,71.4,88.29,0,,,,
7112024,256,29.88,0,0,2871.35,130.23,159.84,55.66,,,,
7112024,274,235.71,165.63,155.2,5103.9,146.23,161.75,0,,,,
7112024,321,0,0,0,1192.5,43.2,61.22,0,,,,
7112024,322,117.6,65.33,54.13,6625.07,162.67,239.47,100.8,,,,
7112024,338,345.09,203.01,171.43,10551.66,197.58,256.78,257.03,,,,
7112024,342,76.64,32.37,0,918.53,54.5,97.66,0,,,,
7112024,344,72.05,31.9,16.23,4257.83,138.33,204.05,157.3,,,,
7112024,352,335.07,146.96,55.3,4891.94,143.42,219.42,60.85,,,,
7112024,354,127.32,71.76,54.32,5053.85,139.78,172.92,45.6,,,,
7112024,365,120.2,56.8,23.51,3379.48,156.39,197.07,79.25,,,,
7112024,367,0,0,0,1220.52,48.16,65.52,0,,,,
7112024,371,260.87,116.79,37.74,2281.74,85.17,122.66,88.49,,,,
7112024,386,696.29,454.7,302.98,6472.85,75.75,94.96,45.49,,,,
7112024,397,192.78,92.31,40.55,4723.37,173.15,205.53,69.62,,,,
7112024,434,102.9,51.98,36.75,7230.3,196.35,237.3,112.09,,,,
7112024,457,85.91,49.86,23.66,1792.25,74.92,86.75,0,,,,
7112024,463,396.17,182.32,88.83,5451.26,128.58,172.18,248.12,,,,
7112024,479,71.87,43.63,30.54,3857.19,130.39,162.98,29.77,,,,
7112024,S15,184.39,89.55,9.25,3234.46,116.5,153.22,44.12,,,,
7112024,S16,188.68,98.32,10.6,3101.03,107.06,131.18,31.54,,,,
7162024,158,64.09,35.54,28.36,4422.76,96.14,136.1,0,,,,
7162024,172,641.68,538.2,348.4,7245.51,42.99,62.4,0,,,,
7162024,177,156.95,91.25,60.41,6835.54,201.12,289.63,284.7,,,,
7162024,181,547.3,292.86,151.99,5278.98,78.16,122.79,58.38,,,,
7162024,185,946.23,525.05,288.67,7049.71,102.47,166.24,113.42,,,,
7162024,186,283.43,187,206.25,5446.83,41.43,84.88,64.17,,,,
7162024,244,393.12,242.39,258.53,8231.59,185.92,230.72,202.74,,,,
7162024,277,160.98,70.56,25.35,5239.73,150.01,277.89,99.69,,,,
7162024,278,75.52,37.1,18.65,4063.48,141.44,230.33,158.2,,,,
7162024,282,116.58,54.99,34.09,6156.62,151.8,277.23,422.06,,,,
7162024,284,0,0,0,1344.56,72.95,94.25,56.8,,,,
7162024,361,198.16,117.89,71.49,6645.11,189.38,260.51,183.83,,,,
7162024,363,238.71,130.98,73.03,5408.04,133.34,191.66,145.33,,,,
7162024,368,579.5,333.67,312,11301.5,112.83,166.83,562.5,,,,
7162024,369,1595.37,911.84,667.69,11538.07,95,119.86,183.35,,,,
7162024,372,619.86,347.99,307.93,9762.04,98.06,127.14,437.86,,,,
7162024,373,502.17,274,127.67,7911.5,310.33,436.17,950.67,,,,
7162024,374,194.54,92.66,78.55,8074.89,192.45,238.26,273.79,,,,
7162024,375,873.6,494.69,129.31,5923.49,231.23,314.08,533.69,,,,
7162024,377,NA,NA,NA,NA,NA,NA,NA,,,,
