tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
110,417_X1_54_rt1_o,0.255,6/20/24,SV,
111,417_X1_54_rt2_i,0.245,7/2/24,SV,
112,417_X1_54_rt2_o,0.211,8/15/24,SV,
113,417_X1_54_rt3_i,0.211,8/15/24,SV,
114,417_X1_54_rt3_o,0.271,8/15/24,SV,
115,419_X5_31_rt1_i,0.175,8/15/24,SV,
116,419_X5_31_rt1_o,0.262,8/15/24,SV,
117,419_X5_31_rt2_i,0.25,7/2/24,SV,
118,419_X5_31_rt2_o,0.289,8/15/24,SV,
119,419_X5_31_rt3_i,0.22,8/15/24,SV,
120,419_X5_31_rt3_o,0.267,8/15/24,SV,
121,101_X2_24_rt1_i,0.256,6/20/24,SV,
122,101_X2_24_rt1_o,0.251,6/25/24,KG,
123,101_X2_24_rt2_i,0.251,6/25/24,KG,
124,101_X2_24_rt2_o,0.248,6/25/24,KG,
125,101_X2_24_rt3_i,0.243,6/25/24,KG,
126,101_X2_24_rt3_o,0.254,6/20/24,SV,
127,108_X8_37_rt1_i,0.256,6/25/24,KG,still appeared wet after long dry down
128,108_X8_37_rt1_o,0.254,6/20/24,SV,
129,108_X8_37_rt2_i,0.253,6/25/24,KG,
130,108_X8_37_rt2_o,0.25,6/20/24,SV,
131,108_X8_37_rt3_i,0.255,6/20/24,SV,
132,108_X8_37_rt3_o,0.253,6/20/24,SV,
133,110_X4_42_rt1_i,0.254,6/20/24,SV,
134,110_X4_42_rt1_o,0.254,6/20/24,SV,still appeared wet after long dry down
135,110_X4_42_rt2_i,0.259,6/25/24,KG,
136,110_X4_42_rt2_o,0.249,6/25/24,KG,
137,110_X4_42_rt3_i,0.252,6/25/24,KG,
138,110_X4_42_rt3_o,0.247,6/25/24,KG,
139,113_C17_rt1_i,0.254,6/25/24,KG,
140,113_C17_rt1_o,0.257,6/25/24,KG,still appeared wet after long dry down
141,113_C17_rt2_i,0.255,6/25/24,KG,
142,113_C17_rt2_o,0.246,6/25/24,KG,
143,113_C17_rt3_i,0.242,6/25/24,KG,
144,113_C17_rt3_o,0.252,6/20/24,SV,
145,116_X8_41.5_rt1_i,0.252,6/20/24,SV,
146,116_X8_41.5_rt1_o,0.255,6/20/24,SV,
147,116_X8_41.5_rt2_i,0.254,6/20/24,SV,
148,116_X8_41.5_rt2_o,0.249,6/20/24,SV,
149,116_X8_41.5_rt3_i,0.255,6/25/24,KG,
150,116_X8_41.5_rt3_o,0.253,6/20/24,SV,
151,203_X11_57_rt1_i,0.254,6/20/24,SV,
152,203_X11_57_rt1_o,0.247,6/20/24,SV,
153,203_X11_57_rt2_i,0.255,6/20/24,SV,
154,203_X11_57_rt2_o,0.249,6/20/24,SV,
155,203_X11_57_rt3_i,0.257,6/20/24,SV,
156,203_X11_57_rt3_o,0.256,6/20/24,SV,
157,204_X2_45_rt1_i,0.255,6/20/24,SV,
158,204_X2_45_rt1_o,0.253,7/16/24,SV,7/16 batch was dried down 8/6
159,204_X2_45_rt2_i,0.235,7/11/24,KG,
160,204_X2_45_rt2_o,0.263,7/11/24,SV,
161,204_X2_45_rt3_i,0.252,6/20/24,SV,
162,204_X2_45_rt3_o,0.254,6/20/24,SV,
163,208_X10_52_rt1_i,0.244,6/20/24,SV,
164,208_X10_52_rt1_o,0.249,6/20/24,SV,
165,208_X10_52_rt2_i,0.246,6/25/24,KG,
166,208_X10_52_rt2_o,0.229,7/11/24,KG,
167,208_X10_52_rt3_i,0.245,6/20/24,SV,little sample left 
168,208_X10_52_rt3_o,0.255,6/20/24,SV,
169,209_A03_rt1_i,0.231,7/11/24,KG,
170,209_A03_rt1_o,0.269,7/11/24,SV,
171,209_A03_rt2_i,0.199,7/11/24,SV,
172,209_A03_rt2_o,0.256,7/16/24,SV,
173,209_A03_rt3_i,0.271,7/11/24,KG,
174,209_A03_rt3_o,0.286,7/11/24,KG,
175,216_X5_31_rt1_i,0.204,7/11/24,KG,
176,216_X5_31_rt1_o,0.269,7/11/24,KG,
177,216_X5_31_rt2_i,0.267,7/16/24,SV,
178,216_X5_31_rt2_o,0.216,7/11/24,SV,
179,216_X5_31_rt3_i,0.16,7/11/24,SV,
180,216_X5_31_rt3_o,0.244,7/11/24,KG,
181,306_X1_34_rt1_i,0.191,7/16/24,SV,
182,306_X1_34_rt1_o,0.239,7/11/24,KG,
183,306_X1_34_rt2_i,0.274,7/11/24,SV,
184,306_X1_34_rt2_o,0.204,7/11/24,SV,
185,306_X1_34_rt3_i,0.262,7/16/24,SV,
186,306_X1_34_rt3_o,0.216,7/16/24,SV,
187,308_X4_46_rt1_i,0.233,7/11/24,SV,
188,308_X4_46_rt1_o,0.262,7/11/24,KG,
189,308_X4_46_rt2_i,0.233,8/15/24,SV,
190,308_X4_46_rt2_o,,,,
191,308_X4_46_rt3_i,0.11,7/11/24,SV,
192,308_X4_46_rt3_o,0.216,7/11/24,KG,
193,309_X5_36_rt1_i,0.156,7/11/24,SV,
194,309_X5_36_rt1_o,0.266,7/11/24,SV,
195,309_X5_36_rt2_i,0.145,7/11/24,SV,
196,309_X5_36_rt2_o,0.25,7/11/24,KG,
197,309_X5_36_rt3_i,0.152,7/11/24,KG,
198,309_X5_36_rt3_o,0.266,7/11/24,SV,
199,312_A20_rt1_i,0.21,7/8/24,KG,
200,312_A20_rt1_o,0.276,7/8/24,SV,
201,312_A20_rt2_i,0.216,7/8/24,KG,
202,312_A20_rt2_o,0.231,7/8/24,SV,
203,312_A20_rt3_i,0.224,7/8/24,SV,
204,312_A20_rt3_o,0.214,7/8/24,KG,
205,313_X1_54_rt1_i,0.25,7/8/24,KG,
206,313_X1_54_rt1_o,0.299,7/8/24,SV,not well ground but weighed out some
207,313_X1_54_rt2_i,0.239,7/8/24,SV,
208,313_X1_54_rt2_o,0.26,7/8/24,SV,
209,313_X1_54_rt3_i,0.263,7/8/24,SV,
210,313_X1_54_rt3_o,0.258,7/8/24,SV,
211,410_A04_rt1_i,0.212,8/15/24,SV,
212,410_A04_rt1_o,0.247,7/8/24,KG,
213,410_A04_rt2_i,0.213,7/8/24,KG,
214,410_A04_rt2_o,0.281,8/15/24,SV,
215,410_A04_rt3_i,0.171,7/8/24,KG,
216,410_A04_rt3_o,0.207,7/8/24,SV,
217,412_X11_68_rt1_i,0.214,7/8/24,KG,
218,412_X11_68_rt1_o,0.241,7/8/24,KG,
219,412_X11_68_rt2_i,0.172,7/8/24,KG,
220,412_X11_68_rt2_o,0.247,8/15/24,SV,
221,412_X11_68_rt3_i,0.248,7/8/24,KG,
222,412_X11_68_rt3_o,0.252,7/8/24,KG,
223,413_C14_rt1_i,0.188,8/15/24,SV,
224,413_C14_rt1_o,0.256,7/8/24,SV,
225,413_C14_rt2_i,0.196,7/8/24,SV,
226,413_C14_rt2_o,0.177,7/8/24,SV,
227,413_C14_rt3_i,0.225,7/8/24,KG,
