Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_B05_206_C17_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	35.52360649066006	37.0	110.16654600093322	117	27.27272727272727	22573379.0
3_B06_313_X1_54_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	88.21289160228416	38.0	103.19445225858169	107	27.27272727272727	20418832.0
3_B06_313_X1_54_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	26.33548596820262	40.0	113.6898397518526	122	18.181818181818183	20418832.0
3_B07_219_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	88.0221500770121	38.0	98.52080161823889	102	27.27272727272727	22007134.0
3_B07_219_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	34.487820664214425	39.0	108.31876213413341	117	18.181818181818183	22007134.0
3_B08_206_C17_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.98873195149427	37.0	116.10818249624161	132	18.181818181818183	22622033.0
3_B08_206_C17_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	38.18073406882366	36.0	115.91217394121917	132	18.181818181818183	22622033.0
3_B09_106_X4_46_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	80.69401862835046	43.0	96.58290340352943	97	36.36363636363637	6338244.0
3_B09_106_X4_46_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	41.86993577211111	43.0	106.76317999117737	112	27.27272727272727	6338244.0
3_B10_118_C14_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.58885613061209	38.0	107.21360169404441	112	18.181818181818183	28318502.0
3_B10_118_C14_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	23.46234497307151	39.0	115.68579810471613	127	18.181818181818183	28318502.0
3_B11_207_A04_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	74.91615465515966	44.0	98.81139319181487	102	36.36363636363637	2091600.0
3_B11_207_A04_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	39.00718443873006	44.0	108.37699799196787	117	36.36363636363637	2091600.0
3_B12_220_X10_39_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.11129540496098	38.0	104.19856304283871	112	18.181818181818183	15710698.0
3_B12_220_X10_39_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	37.6542988752934	39.0	111.17220399755631	122	18.181818181818183	15710698.0
3_C01_320_X2_24_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	19.441210710128047	45.0	124.13038416763679	137	18.181818181818183	1718.0
3_C01_320_X2_24_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	4.772991850989527	42.0	127.08323632130384	142	27.27272727272727	1718.0
3_C02_313_X1_54_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	85.84925875200562	40.0	103.27088513903892	107	27.27272727272727	11792057.0
3_C02_313_X1_54_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	45.32841540256142	41.0	110.6119336092083	117	27.27272727272727	11792057.0
3_C03_115_X1_54_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.25877979213291	39.0	106.81506521886102	112	27.27272727272727	22926650.0
3_C03_115_X1_54_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	44.373121774734244	40.0	113.9201102210746	122	27.27272727272727	22926650.0
3_C04_411_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	90.7268088882875	37.0	114.12730780352466	127	18.181818181818183	23958712.0
3_C04_411_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	32.799267156050746	37.0	116.03433640339264	132	18.181818181818183	23958712.0
3_C05_113_C17_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	69.43788566899384	41.0	96.17784939935541	97	36.36363636363637	1058030.0
3_C05_113_C17_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	42.15194118998872	42.0	104.58042777615002	107	36.36363636363637	1058030.0
3_C06_113_C17_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	84.86022726415356	37.0	100.78050199598972	102	18.181818181818183	11747305.0
3_C06_113_C17_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.39101906016823	38.0	109.04418324032619	117	18.181818181818183	11747305.0
3_C07_109_X11_68_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	78.94548983159328	38.0	89.00256327533242	87	27.27272727272727	7067130.0
3_C07_109_X11_68_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	32.224808994426496	39.0	100.59413269601663	102	27.27272727272727	7067130.0
3_C08_206_C17_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	87.59673225205029	36.0	115.11110580261598	127	18.181818181818183	27210055.0
3_C08_206_C17_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	25.32059463230945	37.0	117.89397764907127	132	18.181818181818183	27210055.0
