Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4805945.0	451.1 Mbp	0.0	18-139	39.0	23.272725970202746	93.61964608417283	92	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4805945.0	495.1 Mbp	0.0	18-151	39.0	61.552933109164485	103.00344115465325	107	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24724355.0	2.6 Gbp	0.0	18-139	38.0	11.862913579636555	107.07936789453153	112	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24724355.0	2.8 Gbp	0.0	18-151	39.0	77.86637433739857	115.61640119631028	127	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24095753.0	2.7 Gbp	0.0	18-139	37.0	9.7510810750173	115.12737331761328	132	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24095753.0	2.8 Gbp	0.0	18-151	37.0	77.33274941919429	116.82712696299635	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22357162.0	2.4 Gbp	0.0	18-139	37.0	13.833539379722312	106.9457126982396	112	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22357162.0	2.5 Gbp	0.0	18-151	37.0	65.15117228143498	112.83533867133941	127	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18942617.0	1.5 Gbp	0.0	18-139	35.0	5.281400173189492	83.58309435280246	82	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18942617.0	1.8 Gbp	0.0	18-151	37.0	61.54852891188033	97.11271626301688	97	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8283830.0	760.8 Mbp	0.0	18-139	43.0	16.67818496186997	91.64253913950431	92	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8283830.0	837.4 Mbp	0.0	18-151	43.0	48.22276049304157	101.08348481318424	107	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
