tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
1,102_X1_34_rt1_i,0.250,6/13/2024,KG ,
2,102_X1_34_rt1_o,0.254,6/11/2024,SV,spilled during dry down
3,102_X1_34_rt2_i,0.248,6/11/2024,KG ,
4,102_X1_34_rt2_o,0.251,6/11/2024,KG,
5,102_X1_34_rt3_i,0.253,6/13/2024,KG ,
6,102_X1_34_rt3_o,0.257,6/11/2024,SV,
7,103_A04_rt1_i,0.255,6/11/2024,SV,
8,103_A04_rt1_o,0.256,6/11/2024,SV,
9,103_A04_rt2_i,0.253,6/11/2024,KG,
10,103_A04_rt2_o,0.254,6/11/2024,SV,
11,103_A04_rt3_i,0.256,6/13/2024,KG,
12,103_A04_rt3_o,0.243,6/11/2024,SV,
13,109_X11_68_rt1_i,0.252,6/11/2024,SV,
14,109_X11_68_rt1_o,0.243,6/13/2024,KG,
15,109_X11_68_rt2_i,0.247,6/13/2024,KG,
16,109_X11_68_rt2_o,0.255,6/11/2024,KG,
17,109_X11_68_rt3_i,0.254,6/11/2024,SV,
18,109_X11_68_rt3_o,0.260,6/13/2024,KG,
19,111_A03_rt1_i,0.249,6/13/2024,KG,
20,111_A03_rt1_o,0.243,6/13/2024,KG,
21,111_A03_rt2_i,0.245,6/11/2024,KG,
22,111_A03_rt2_o,0.251,6/11/2024,KG,
23,111_A03_rt3_i,0.247,6/13/2024,KG,
24,111_A03_rt3_o,0.251,6/11/2024,SV,
25,114_X2_45_rt1_i,0.244,6/13/2024,KG,
26,114_X2_45_rt1_o,0.252,6/11/2024,SV,
27,114_X2_45_rt2_i,0.256,6/11/2024,SV,
28,114_X2_45_rt2_o,0.252,6/11/2024,KG,
29,114_X2_45_rt3_i,0.246,6/13/2024,KG,
30,114_X2_45_rt3_o,0.252,6/11/2024,SV,
31,201_X5_66_rt1_i,0.248,6/13/2024,KG,
32,201_X5_66_rt1_o,0.246,6/11/2024,KG,
33,201_X5_66_rt2_i,0.256,6/11/2024,KG,
34,201_X5_66_rt2_o,0.247,6/11/2024,KG,
35,201_X5_66_rt3_i,0.256,6/11/2024,KG,
36,201_X5_66_rt3_o,0.252,6/13/2024,KG,
37,206_C17_rt1_i,0.243,6/11/2024,KG,
38,206_C17_rt1_o,,,,
39,206_C17_rt2_i,0.244,6/13/2024,KG,
40,206_C17_rt2_o,0.245,6/11/2024,KG,
41,206_C17_rt3_i,0.255,6/11/2024,SV,
42,206_C17_rt3_o,0.251,6/13/2024,KG,
43,214_X4_46_rt1_i,0.254,6/13/2024,KG,
44,214_X4_46_rt1_o,0.250,6/13/2024,KG,
45,214_X4_46_rt2_i,,,,
46,214_X4_46_rt2_o,0.243,6/11/2024,SV,
47,214_X4_46_rt3_i,0.247,6/13/2024,KG,
48,214_X4_46_rt3_o,0.252,6/13/2024,KG ,
49,215_A20_rt1_i,0.253,7/2/2024,KG ,
50,215_A20_rt1_o,0.258,7/2/2024,SV,
51,215_A20_rt2_i,0.256,7/2/2024,SV,
52,215_A20_rt2_o,0.244,7/2/2024,SV,
53,215_A20_rt3_i,0.248,7/2/2024,SV,
54,215_A20_rt3_o,0.243,7/2/2024,SV,
55,217_X5_36_rt1_i,0.250,7/2/2024,SV,
56,217_X5_36_rt1_o,0.256,7/2/2024,KG ,
57,217_X5_36_rt2_i,0.256,7/2/2024,KG ,
58,217_X5_36_rt2_o,0.256,7/2/2024,SV,
59,217_X5_36_rt3_i,0.258,7/8/2024,SV,
60,217_X5_36_rt3_o,0.257,7/2/2024,KG ,
61,310_C14_rt1_i,0.253,6/25/2024,KG ,
62,310_C14_rt1_o,0.249,6/25/2024,KG ,still appeared wet after long dry down
63,310_C14_rt2_i,0.257,6/25/2024,KG ,
64,310_C14_rt2_o,0.250,6/25/2024,KG ,
65,310_C14_rt3_i,0.249,6/25/2024,KG ,
66,310_C14_rt3_o,0.252,6/25/2024,KG ,
67,311_X11_57_rt1_i,0.253,7/2/2024,SV,
68,311_X11_57_rt1_o,0.253,7/2/2024,KG ,
69,311_X11_57_rt2_i,0.256,7/2/2024,SV,
70,311_X11_57_rt2_o,0.256,7/2/2024,KG ,
71,311_X11_57_rt3_i,0.251,7/2/2024,SV,
72,311_X11_57_rt3_o,0.254,7/2/2024,KG ,
73,315_X8_41.5_rt1_i,0.248,7/2/2024,KG ,
74,315_X8_41.5_rt1_o,0.252,7/2/2024,SV,
75,315_X8_41.5_rt2_i,0.254,7/2/2024,SV,
76,315_X8_41.5_rt2_o,0.260,7/2/2024,KG ,
77,315_X8_41.5_rt3_i,0.255,7/2/2024,KG ,
