Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1	9769.0	10302.0	9922.0	10020.0	10346.0	12289.0	13505.0	12845.0	13514.0	14614.0	16249.0	19916.0	22877.0	21520.0	20565.0	21916.0	22471.0	25832.0	27591.0	28240.0	27269.0	25289.0	27548.0	29752.0	23022.0	23682.0	22547.0	23002.0	22513.0	20228.0	23168.0	34748.0	225489.0	398138.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1	4414.0	4469.0	4163.0	4065.0	4118.0	4757.0	4923.0	4894.0	4956.0	5494.0	6438.0	7395.0	7971.0	7692.0	7122.0	7213.0	7473.0	8290.0	8421.0	8626.0	8308.0	7363.0	7956.0	8455.0	6425.0	6257.0	6397.0	6609.0	6709.0	5650.0	6412.0	9436.0	66334.0	116384.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1	97.0	91.0	91.0	91.0	113.0	102.0	130.0	118.0	169.0	168.0	140.0	192.0	204.0	214.0	238.0	273.0	284.0	325.0	352.0	400.0	429.0	442.0	494.0	539.0	506.0	539.0	505.0	540.0	515.0	582.0	729.0	1257.0	3179.0	4825.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1	5088.0	5243.0	5106.0	4766.0	4840.0	5823.0	5889.0	5682.0	4624.0	4950.0	6359.0	7906.0	9531.0	9394.0	6782.0	7548.0	7195.0	9616.0	8364.0	9469.0	9694.0	8129.0	8552.0	9162.0	5803.0	5574.0	5970.0	6510.0	7057.0	5803.0	5468.0	7770.0	57398.0	93772.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1	8920.0	9098.0	9099.0	9186.0	10246.0	12121.0	14435.0	13949.0	14251.0	15494.0	18249.0	25142.0	28760.0	25838.0	24370.0	26501.0	27832.0	32767.0	34742.0	36193.0	35859.0	33770.0	38218.0	45285.0	36157.0	36407.0	35801.0	36513.0	36069.0	34178.0	42168.0	71349.0	471700.0	846549.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1	10730.0	11932.0	11235.0	11709.0	12824.0	16170.0	17910.0	17402.0	15580.0	16819.0	19970.0	26687.0	30276.0	27154.0	25081.0	27250.0	27950.0	32379.0	33413.0	35413.0	35584.0	32091.0	35696.0	38553.0	29831.0	31512.0	30286.0	31352.0	31034.0	30250.0	37332.0	65408.0	524790.0	777079.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1	10061.0	10496.0	10160.0	9710.0	10095.0	11473.0	12249.0	11429.0	11088.0	11486.0	12595.0	14700.0	16737.0	16699.0	14660.0	14928.0	15350.0	17569.0	17324.0	18642.0	18005.0	16230.0	17911.0	18937.0	13765.0	13879.0	13458.0	13937.0	13992.0	12328.0	13829.0	20891.0	134179.0	250176.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1	10865.0	11594.0	11093.0	11921.0	13662.0	15140.0	18318.0	18480.0	18571.0	19388.0	20528.0	25468.0	29486.0	30511.0	33136.0	37463.0	41907.0	46798.0	52885.0	60221.0	59501.0	58131.0	70844.0	87913.0	76678.0	83607.0	80672.0	82276.0	76010.0	82551.0	116212.0	243648.0	939792.0	2563987.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1	13685.0	15007.0	14788.0	15246.0	17116.0	20290.0	24969.0	26153.0	27341.0	30071.0	34533.0	41713.0	48432.0	49385.0	52567.0	58930.0	66710.0	78214.0	86579.0	92654.0	88869.0	83949.0	97221.0	112076.0	91582.0	97467.0	91242.0	91096.0	84596.0	83031.0	94190.0	138254.0	716621.0	1426283.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1	2990.0	3419.0	3011.0	2948.0	2929.0	3627.0	3697.0	3143.0	3005.0	3321.0	4302.0	4821.0	5593.0	5341.0	4224.0	4640.0	4700.0	6443.0	5346.0	6526.0	6956.0	5758.0	5724.0	5895.0	3371.0	3564.0	3734.0	4445.0	5023.0	4042.0	3930.0	6009.0	50289.0	86236.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1	813.0	832.0	852.0	795.0	1023.0	1181.0	1409.0	1170.0	1193.0	1305.0	1451.0	1620.0	1667.0	1596.0	1552.0	1750.0	2063.0	2461.0	2380.0	2668.0	2625.0	2450.0	2686.0	2658.0	1774.0	1684.0	1523.0	1617.0	1644.0	1447.0	1713.0	2754.0	16237.0	26987.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1	2037.0	2370.0	2144.0	1971.0	2037.0	2229.0	2187.0	1995.0	2038.0	2273.0	2779.0	3052.0	3236.0	3446.0	2556.0	2721.0	2727.0	3558.0	2937.0	3394.0	3746.0	3493.0	3463.0	3371.0	2142.0	1985.0	2197.0	2650.0	3000.0	2532.0	2772.0	4302.0	28223.0	47818.0
