Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1 - polya	0.0005508783361585523	0.002046119534303194	0.0039348452582753735	0.008892750283702342	0.01518850269694294	0.027071735376934566	0.04588029571149085	0.06791542915783294	0.08703877711305125	0.10466688387012492	0.11922581132574381	0.1327616790142111	0.1499963012454572	0.16612916680438625	0.17683194590689527	0.19131217645734863	0.20398237818899534	0.21822651802395218	0.2331789300053986	0.2456130410215488	0.258519333468692	0.27197650425199377	0.2885028543367504	0.30314047869753474	0.3182502844893122	0.332179636703607	0.3450072322455847	0.35830700921855546	0.37270854286384336	0.3882118331814483	0.40229857920607415	0.41725099118752057	0.4338560381774426	0.45282199232232995	0.47383406600152045	0.4928000201464077	0.5142055783514258	0.537814649901078	0.5610302369249027	0.5853475806210445	0.6113962562308275	0.6351627215908108	0.6590078838559594	0.6861583161380596	0.7103969629290359	0.7379408797369634	0.7661930686913806	0.7983801029040732	0.8307245309270967	0.8662168351567406	0.9020239270070465	0.9361783838488767	0.9739528983283203	1.0030707532395582	1.0346282122109265	1.069412244294081	1.102622338273925	1.137799854882907	1.1737643405435438	1.2076827066698774	1.2438045861408453	1.2800051625169788	1.3143170131691402	1.3580724924411622	1.396948763592923	1.4248074680215126	1.4516431126829505	1.4717895204053206	1.481469239740678	1.4846171159472983	1.4860336602402775	1.486584538576436	1.486584538576436	1.486584538576436	1.486584538576436
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1 - polyg	0.0	0.0	0.0	0.0001573938103310149	0.0013378473878136268	0.003462663827282328	0.003462663827282328	0.003462663827282328	0.003462663827282328	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003541360732447836	0.003620057637613343	0.0038561483531098658	0.0038561483531098658	0.0039348452582753735	0.004092239068606388	0.004092239068606388	0.004170935973771895	0.004249632878937403	0.004879208120261463	0.008184478137212776	0.014244139834956851	0.017234622231246135	0.018651166524225268	0.019044651050052805	0.019438135575880342	0.02518300965296239	0.036357970186464444	0.042889813315201565	0.05674046862433088	0.07318812180392194	0.08310393185477588	0.09105231927649213	0.09522325525026402	0.0971119809742362	0.09852852526721534	0.09931549431887042	0.10033855408602202	0.10151900766350462	0.10293555195648375	0.1064769126889316	0.11017566723171045	0.11293005891250321	0.11773057012759916	0.12213759681686757	0.1267807142216325	0.1351225861691763	0.14582536527168533	0.17344797898477846	0.2814201328718547	0.5656733543296676	0.9569543668125707	1.2220842403151653	1.361456459363279	1.4369267914170007	1.481154452120016	1.4998843155494066
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1 - polya	0.0007661093646655039	0.0015322187293310078	0.004341286399771189	0.01047016131709522	0.021706431998855944	0.03958231717438437	0.06231022832612765	0.0921884935480823	0.11849158173493127	0.13994264394556538	0.16292592488553048	0.1792695913317279	0.20736026803612972	0.2262576323645455	0.24592110605762674	0.2691597567858137	0.2929091470904443	0.3164031676068531	0.33606664129993435	0.3600714013927868	0.37743654699187157	0.3981214998378402	0.4211047807778053	0.4445988012942141	0.46630523329307005	0.48647944656259495	0.5046107015263452	0.5260617637369793	0.5441930187007296	0.5630903830291454	0.5796894192635647	0.5985867835919804	0.6220808041083892	0.6458301944130198	0.6680473659883194	0.6953719333280557	0.7260163079146759	0.7538516148308558	0.7811761821705921	0.8087561192985503	0.8401666032498359	0.8680019101660159	0.9017107222112981	0.9331212061625838	0.9652977994785349	0.9969636532180424	1.025309699710666	1.05927388154417	1.0950256518952268	1.1251592869054035	1.1652523436562314	1.19845041612507	1.2331807073232395	1.261782123604085	1.290894279461374	1.3197510655304414	1.346820263081956	1.3802737053390162	1.4058106841611997	1.4328798817127142	1.462502777146447	1.4905934538508487	1.5171519118259196	1.5480516562007616	1.5804836193049345	1.6034669002448996	1.6208320458439844	1.6376864518666254	1.6450921757250587	1.6463690246661677	1.647901243395499	1.647901243395499	1.647901243395499	1.647901243395499	1.647901243395499
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1 - polyg	0.0	0.0	0.0	0.0	0.0	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0007661093646655039	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0010214791528873385	0.0012768489411091731	0.0012768489411091731	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0015322187293310078	0.0017875885175528425	0.002042958305774677	0.002042958305774677	0.0022983280939965116	0.0025536978822183463	0.0030644374586620156	0.0030644374586620156	0.0030644374586620156	0.0030644374586620156	0.003575177035105685	0.0038305468233275192	0.004085916611549354	0.004085916611549354	0.004596656187993023	0.004596656187993023	0.004596656187993023	0.004596656187993023	0.004852025976214858	0.005873505129102196	0.0063842447055458655	0.006894984281989535	0.0076610936466550384	0.008937942587764211	0.00995942174065155	0.011491640469982559	0.013279228987535401	0.015322187293310077	0.03805009844505336	0.1519450239919916	0.38892818746185415	0.8473169573200473	1.2490136341929932	1.453054094982239	1.5511160936594235	1.5988702440569067	1.6215981552086498	1.633855905043298
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.015895724050230486	0.015895724050230486	0.021194298733640652	0.021194298733640652	0.021194298733640652	0.021194298733640652	0.021194298733640652	0.021194298733640652	0.026492873417050814	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.03179144810046097	0.042388597467281304	0.042388597467281304	0.047687172150691466	0.05298574683410163	0.05828432151751179	0.06888147088433211	0.07418004556774228	0.07947862025115245	0.08477719493456261	0.08477719493456261	0.08477719493456261	0.08477719493456261	0.09537434430138293	0.09537434430138293	0.1006729189847931	0.1006729189847931	0.10597149366820326	0.11127006835161342	0.11656864303502358	0.12186721771843374	0.12186721771843374	0.13776294176866422	0.13776294176866422	0.13776294176866422	0.1430615164520744	0.1430615164520744	0.1430615164520744	0.1430615164520744	0.14836009113548457	0.15365866581889473	0.1589572405023049	0.16425581518571505	0.16425581518571505	0.16425581518571505	0.16425581518571505	0.16425581518571505
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1 - polya	0.005298574683410163	0.015895724050230486	0.015895724050230486	0.015895724050230486	0.015895724050230486	0.026492873417050814	0.03709002278387114	0.03709002278387114	0.06358289620092195	0.06358289620092195	0.07418004556774228	0.07947862025115245	0.08477719493456261	0.09537434430138293	0.10597149366820326	0.13776294176866422	0.14836009113548457	0.16425581518571505	0.1854501139193557	0.20664441265299635	0.22254013670322684	0.23843586075345732	0.23843586075345732	0.24373443543686749	0.2649287341705081	0.291421607587559	0.291421607587559	0.3020187569543793	0.3126159063211996	0.3126159063211996	0.33381020505484027	0.3444073544216606	0.3603030784718911	0.36560165315530124	0.3709002278387114	0.38149737720553173	0.3973931012557622	0.4132888253059927	0.4397816987230435	0.4450802734064537	0.46097599745668416	0.47687172150691465	0.47687172150691465	0.48746887087373497	0.4980660202405553	0.5139617442907858	0.5404546177078365	0.5722460658082976	0.582843215175118	0.588141789858528	0.619933237958989	0.65172468605945	0.6782175594765009	0.7206061569437822	0.7682933290944736	0.7788904784612939	0.8159805012451651	0.8371747999788057	0.8583690987124464	0.8689662480792667	0.8901605468129073	0.9325491442801886	0.9908334657977004	1.0173263392147511	1.080909235415673	1.1021035341493137	1.1232978328829546	1.1285964075663646	1.1444921316165952	1.1444921316165952	1.1444921316165952	1.1497907063000052	1.1497907063000052	1.1497907063000052	1.1497907063000052
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1 - polyg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005298574683410163	0.005298574683410163	0.010597149366820326	0.010597149366820326	0.010597149366820326	0.015895724050230486	0.021194298733640652	0.021194298733640652	0.026492873417050814	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.03709002278387114	0.042388597467281304	0.042388597467281304	0.042388597467281304	0.047687172150691466	0.05828432151751179	0.06358289620092195	0.06358289620092195	0.07947862025115245	0.10597149366820326	0.13776294176866422	0.18015153923594554	0.20664441265299635	0.23843586075345732	0.2649287341705081	0.27552588353732843
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1 - polya	0.0005393205100893384	0.0018876217853126846	0.005393205100893385	0.012404371732054784	0.02750534601455626	0.05932525610982723	0.09977429436652761	0.13941435185809398	0.17689712730930301	0.21168330021006534	0.24242456928515763	0.26939059478962457	0.30013186386471685	0.3254799278389158	0.355412216148874	0.38076028012307295	0.4055690235871825	0.4352316516420961	0.45518651051540165	0.4737930681134838	0.4932086064767	0.5115455038197375	0.5339273049884451	0.5552304651369739	0.5762639650304582	0.5956795033936743	0.6167130032871585	0.6350499006301961	0.6501508749126975	0.6682181120006904	0.6841280670483258	0.7016559836262293	0.7245771053050262	0.7469589064737338	0.7674530858571286	0.7879472652405235	0.808711104878963	0.8286659637522685	0.8542836879815121	0.8753171878749962	0.8944630659831678	0.9144179248564733	0.9319458414343769	0.9516310400526377	0.97428250147639	0.9923497385643827	1.0128439179477775	1.0384616421770212	1.0632703856411307	1.0880791291052403	1.1126182123143051	1.1374269557784147	1.1638536607727923	1.1848871606662765	1.2059206605597608	1.2296507630036917	1.250684262897176	1.27171776279066	1.294638884469457	1.322413890739058	1.342638409867408	1.3650202110361156	1.3849750699094212	1.4114017749037988	1.4345925568376403	1.4556260567311246	1.4761202361145194	1.48771562708144	1.49176053090711	1.4936481526924228	1.4947267937126014	1.4947267937126014	1.4947267937126014	1.4947267937126014	1.4947267937126014
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1 - polyg	0.0	0.0	0.0	0.0002696602550446692	0.0008089807651340076	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0016179615302680153	0.0018876217853126846	0.0018876217853126846	0.0018876217853126846	0.0021572820403573537	0.0021572820403573537	0.0021572820403573537	0.0021572820403573537	0.0026966025504466923	0.0026966025504466923	0.0029662628054913614	0.0032359230605360305	0.0032359230605360305	0.003775243570625369	0.003775243570625369	0.004044903825670038	0.004044903825670038	0.004044903825670038	0.004314564080714707	0.0045842243357593765	0.004853884590804046	0.005393205100893385	0.005932525610982723	0.005932525610982723	0.006471846121072061	0.00674150637611673	0.008089807651340077	0.008629128161429415	0.009438108926563422	0.0105167499467421	0.012134711477010115	0.015640294792590815	0.019415538363216182	0.022112140913662877	0.025617724229243577	0.05096578820344248	0.24997505642640838	0.7485768680040018	1.6832193119888252	2.6286481661754357	3.0932727856174007	3.2963269576660363	3.4023034378985915	3.4608197132432847	3.4888643797679304
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1 - polya	0.0006371699459679886	0.001274339891935977	0.002139070532892533	0.0035499468418216506	0.007008869405647875	0.013881202394302608	0.022892605915849875	0.03249566724436742	0.04132502220992383	0.048743500866551125	0.05561583385520586	0.06294328823383773	0.07140854608741243	0.08001034035798028	0.08724677045861672	0.09471076125424173	0.1040862618877707	0.11309766540931797	0.12092575331692469	0.12884486550252683	0.13567168635218385	0.14309016500881114	0.15178298355737443	0.15992965643796514	0.16976027846147124	0.17890821840001164	0.1872369398365932	0.19470093063221822	0.20262004281782037	0.20976544864046137	0.21918646141298806	0.2283344013515285	0.23761887770706203	0.24954305812446295	0.26164928709785473	0.27448371029520996	0.28831940055051486	0.30320187000276716	0.32004136143192113	0.3374269985290477	0.35458507493118563	0.37292646694726417	0.39167746821432214	0.408699008199467	0.4270404002155455	0.44793047201549596	0.4703679565413687	0.4919407104262849	0.517655068959993	0.5428232818257286	0.5712683686992994	0.5973468243449893	0.6211951851797911	0.6432230604546845	0.6672989819844749	0.6913293913752676	0.71636106782401	0.7400728922418187	0.7627834496016778	0.7896356116103287	0.8146217759200735	0.8403361344537815	0.8688267334663502	0.9005031822087587	0.9333174344261101	0.9595779386277908	0.9818333745976727	1.000675400142726	1.010232949332246	1.0131457262280996	1.0141469932860492	1.0145566025370287	1.0147386510930196	1.0147386510930196	1.0147386510930196
