gene_id	colors
Manes.01G055500.v8.1	black
Manes.01G055600.v8.1	salmon
Manes.01G055708.v8.1	turquoise
Manes.01G056000.v8.1	brown
Manes.01G056100.v8.1	grey
Manes.01G056450.v8.1	grey
Manes.01G056750.v8.1	grey
Manes.01G056800.v8.1	grey
Manes.01G056900.v8.1	turquoise
Manes.01G057200.v8.1	turquoise
Manes.01G057300.v8.1	turquoise
Manes.01G057400.v8.1	red
Manes.01G057800.v8.1	grey
Manes.01G057900.v8.1	grey
Manes.01G058000.v8.1	grey
Manes.01G058100.v8.1	brown
Manes.01G058300.v8.1	grey
Manes.01G058600.v8.1	brown
Manes.01G058700.v8.1	turquoise
Manes.01G058800.v8.1	grey
Manes.01G058900.v8.1	pink
Manes.01G059200.v8.1	grey
Manes.01G059400.v8.1	grey
Manes.01G059500.v8.1	yellow
Manes.01G059600.v8.1	grey
Manes.01G059900.v8.1	cyan
Manes.01G060100.v8.1	grey
Manes.01G060200.v8.1	turquoise
Manes.01G060300.v8.1	greenyellow
Manes.01G060400.v8.1	grey
Manes.01G060500.v8.1	turquoise
Manes.01G060700.v8.1	grey
Manes.01G060875.v8.1	brown
Manes.01G061050.v8.1	salmon
Manes.01G061200.v8.1	grey
Manes.01G061400.v8.1	brown
Manes.01G061600.v8.1	turquoise
Manes.01G061800.v8.1	grey
Manes.01G061900.v8.1	turquoise
Manes.01G062000.v8.1	turquoise
Manes.01G062400.v8.1	blue
Manes.01G062500.v8.1	grey
Manes.01G062600.v8.1	turquoise
Manes.01G062700.v8.1	turquoise
Manes.01G062800.v8.1	magenta
Manes.01G063000.v8.1	grey
Manes.01G063100.v8.1	grey
Manes.01G063300.v8.1	green
Manes.01G063500.v8.1	brown
Manes.01G063600.v8.1	turquoise
Manes.01G064000.v8.1	grey
Manes.01G064200.v8.1	grey
Manes.01G064500.v8.1	grey
Manes.01G064600.v8.1	grey
Manes.01G064900.v8.1	grey
Manes.01G065000.v8.1	grey
Manes.01G065100.v8.1	grey
Manes.01G065200.v8.1	grey
Manes.01G065300.v8.1	magenta
Manes.01G065400.v8.1	turquoise
Manes.01G065600.v8.1	yellow
Manes.01G065800.v8.1	grey
