"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Term"
"GO:0020037","GO:0020037","23/523","205/20430",3.1964341650055e-09,4.89054427245842e-07,4.40771448016548e-07,"Manes.08G002700/Manes.12G114300/Manes.06G006500/Manes.02G174500/Manes.13G125300/Manes.06G006600/Manes.10G113200/Manes.16G085400/Manes.10G113100/Manes.18G043500/Manes.02G184800/Manes.14G127200/Manes.14G087600/Manes.04G047500/Manes.05G167700/Manes.13G050200/Manes.09G130200/Manes.03G084300/Manes.09G081709/Manes.15G161900/Manes.05G167000/Manes.02G093100/Manes.12G132800",23,"heme binding"
"GO:0004497","GO:0004497","17/523","130/20430",3.79810326979705e-08,2.90554900139474e-06,2.61869225443902e-06,"Manes.12G114300/Manes.06G006500/Manes.06G006600/Manes.10G113200/Manes.16G085400/Manes.10G113100/Manes.18G043500/Manes.14G127200/Manes.14G087600/Manes.04G047500/Manes.05G167700/Manes.13G050200/Manes.09G130200/Manes.09G081709/Manes.05G167000/Manes.02G093100/Manes.12G132800",17,"monooxygenase activity"
"GO:0016705","GO:0016705","18/523","156/20430",1.07490899351975e-07,5.48203586695073e-06,4.94080975968728e-06,"Manes.12G114300/Manes.06G006500/Manes.06G006600/Manes.10G113200/Manes.16G085400/Manes.10G113100/Manes.18G043500/Manes.14G127200/Manes.14G087600/Manes.17G026594/Manes.04G047500/Manes.05G167700/Manes.13G050200/Manes.09G130200/Manes.09G081709/Manes.05G167000/Manes.02G093100/Manes.12G132800",18,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0005506","GO:0005506","19/523","207/20430",1.7019427128512e-06,6.50993087665585e-05,5.86722356272388e-05,"Manes.12G114300/Manes.06G006500/Manes.06G006600/Manes.08G164800/Manes.10G113200/Manes.16G085400/Manes.10G113100/Manes.18G043500/Manes.14G127200/Manes.14G087600/Manes.17G026594/Manes.04G047500/Manes.05G167700/Manes.13G050200/Manes.09G130200/Manes.09G081709/Manes.05G167000/Manes.02G093100/Manes.12G132800",19,"iron ion binding"
"GO:0016758","GO:0016758","9/523","82/20430",0.000245982397855805,0.00752706137438764,0.00678393560402326,"Manes.07G070800/Manes.09G070538/Manes.03G111200/Manes.07G076300/Manes.13G056600/Manes.02G216800/Manes.01G128050/Manes.08G163200/Manes.07G123400",9,"hexosyltransferase activity"
"GO:0004601","GO:0004601","7/523","56/20430",0.000542111772762978,0.0138238502054559,0.012459060040693,"Manes.08G002700/Manes.08G118500/Manes.02G174500/Manes.13G125300/Manes.02G184800/Manes.03G084300/Manes.15G161900",7,"peroxidase activity"
"GO:0003950","GO:0003950","3/523","10/20430",0.00175013577771363,0.0382529677128835,0.0344763589293963,"Manes.12G028100/Manes.13G029600/Manes.14G065700",3,"NAD+ ADP-ribosyltransferase activity"
