"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Term"
"GO:0009055","GO:0009055","4/142","83/20430",0.00268799414130754,0.173519352224391,0.158298356415234,"Manes.18G085600/Manes.04G068400/Manes.07G014300/Manes.01G051900",4,"electron transfer activity"
"GO:0043565","GO:0043565","6/142","222/20430",0.00462718272598376,0.173519352224391,0.158298356415234,"Manes.05G081700/Manes.16G081500/Manes.08G001500/Manes.05G018700/Manes.03G020500/Manes.03G049500",6,"sequence-specific DNA binding"
"GO:0008610","GO:0008610","2/142","21/20430",0.00923864987727967,0.196864323366627,0.179595523071309,"Manes.04G094200/Manes.11G075100",2,"lipid biosynthetic process"
"GO:0016747","GO:0016747","3/142","67/20430",0.0113883868852473,0.196864323366627,0.179595523071309,"Manes.04G094200/Manes.11G075100/Manes.01G094100",3,"acyltransferase activity, transferring groups other than amino-acyl groups"
"GO:0003700","GO:0003700","7/142","365/20430",0.0140025931332545,0.196864323366627,0.179595523071309,"Manes.05G081700/Manes.16G081500/Manes.08G001500/Manes.05G018700/Manes.15G039700/Manes.03G020500/Manes.03G049500",7,"DNA-binding transcription factor activity"
"GO:0009058","GO:0009058","3/142","80/20430",0.0183020733473538,0.196864323366627,0.179595523071309,"Manes.04G094200/Manes.11G075100/Manes.10G105800",3,"biosynthetic process"
"GO:0006952","GO:0006952","2/142","30/20430",0.0183740035142185,0.196864323366627,0.179595523071309,"Manes.02G163900/Manes.17G079800",2,"defense response"
