Sample_Name,Sample_Title,Isolate,Organism,Cultivar,Development_stage,Collection_date,Geographic_location,Tissue
TCDM1_A20_1_1_i,A20_1_1_i,1_i,Manihot esculenta,HIL16A020,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_1_2_o,A20_1_2_o,2_o,Manihot esculenta,HIL16A020,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X5_31_1_o,X5_31_1_o,1_o,Manihot esculenta,ITH21F005P031,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X4_67_1_o,X4_67_1_o,1_o,Manihot esculenta,ITH21F004P067,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A27_1_2_o,A27_1_2_o,2_o,Manihot esculenta,HIL16A027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X5_31_3_o,X5_31_3_o,3_o,Manihot esculenta,ITH21F005P031,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X5_31_2_o,X5_31_2_o,2_o,Manihot esculenta,ITH21F005P031,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C64_1_3_i,C64_1_3_i,3_i,Manihot esculenta,HIL16C064,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_1_2_i,A20_1_2_i,2_i,Manihot esculenta,HIL16A020,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_1_3_i,A20_1_3_i,3_i,Manihot esculenta,HIL16A020,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_1_3_o,A20_1_3_o,3_o,Manihot esculenta,HIL16A020,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A27_1_3_o,A27_1_3_o,3_o,Manihot esculenta,HIL16A027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A27_1_1_o,A27_1_1_o,1_o,Manihot esculenta,HIL16A027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X5_31_1_i,X5_31_1_i,1_i,Manihot esculenta,ITH21F005P031,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X11_57_1_i,X11_57_1_i,1_i,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X2_45_2_i,X2_45_2_i,2_i,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X2_45_2_o,X2_45_2_o,2_o,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X2_45_1_i,X2_45_1_i,1_i,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X2_45_3_o,X2_45_3_o,3_o,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X2_45_3_i,X2_45_3_i,3_i,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X2_45_1_o,X2_45_1_o,1_o,Manihot esculenta,ITH21F002P045,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_68_1_o,X11_68_1_o,1_o,Manihot esculenta,ITH21F011P068,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_68_1_i,X11_68_1_i,1_i,Manihot esculenta,ITH21F011P068,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X11_68_3_i,X11_68_3_i,3_i,Manihot esculenta,ITH21F011P068,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X11_68_3_o,X11_68_3_o,3_o,Manihot esculenta,ITH21F011P068,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_68_2_o,X11_68_2_o,2_o,Manihot esculenta,ITH21F011P068,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A20_2_3_o,A20_2_3_o,3_o,Manihot esculenta,HIL16A020,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A03_2_1_o,A03_2_1_o,1_o,Manihot esculenta,HIL16A003,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C17_2_3_o,C17_2_3_o,3_o,Manihot esculenta,HIL16C017,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A03_2_1_i,A03_2_1_i,1_i,Manihot esculenta,HIL16A003,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_C14_2_1_i,C14_2_1_i,1_i,Manihot esculenta,HIL16C014,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_2_2_i,A20_2_2_i,2_i,Manihot esculenta,HIL16A020,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
