"","tubeID","mean_ng.uL","mean_ratio","mean_230","sd_ng.uL","sd_ratio","sd_230","na.rm","sample_ID","SampleID","plate","QCcheck","genotype","root","uL_to_pipet","water_to_pipet","final_conc","block"
"127","plate2.3_70",715.267,2.1745,NA,9.10753534168273,0.00777817459305211,NA,TRUE,"70","X5_66_3_i","plate2.3","PASS","X5_66","X5_66_3",20.9711897794809,4.02881022051905,500,3
"128","plate2.3_71",1179.227,2.175,NA,2.37587878478673,0.00141421356237325,NA,TRUE,"71","X5_66_1_o","plate2.3","PASS","X5_66","X5_66_1",12.7201972139376,12.2798027860624,500,3
"129","plate2.3_72",1114.707,2.183,NA,4.35577777210919,0,NA,TRUE,"72","A04_2_1_o","plate2.3","PASS","A04_2","A04_2_1",13.4564508879912,11.5435491120088,500,2
"130","plate2.3_73",1206.867,2.164,NA,8.9943982566929,0.012727922061358,NA,TRUE,"73","X5_66_2_o","plate2.3","PASS","X5_66","X5_66_2",12.4288757584721,12.5711242415279,500,3
"131","plate2.4_74",481.92,1.9955,NA,25.7952553776853,0.0770746391493335,NA,TRUE,"74","X4_24_3_o","plate2.4","PASS","X4_24","X4_24_3",25,0,401.6,4
"132","plate2.4_75",629.8,2.108,NA,42.8223866686574,0.00565685424949239,NA,TRUE,"75","A03_4_1_i","plate2.4","PASS","A03_4","A03_4_1",23.8170847888218,1.18291521117815,500,4
"133","plate2.4_76",262.96,2.157,NA,0.339411254969515,0.00282842712474619,NA,TRUE,"76","X8_37_2_i","plate2.4","PASS","X8_37","X8_37_2",25,0,219.133333333333,4
"134","plate2.4_77",314,2.1825,NA,1.81019335983752,0.0205060966544098,NA,TRUE,"77","A27_3_2_i","plate2.4","PASS","A27_3","A27_3_2",25,0,261.666666666667,3
"135","plate2.4_78",796.2,2.171,NA,20.1949696706878,0.00707106781186564,NA,TRUE,"78","A04_2_1_i","plate2.4","PASS","A04_2","A04_2_1",18.8394875659382,6.16051243406179,500,2
"136","plate2.4_79",439.44,2.161,NA,7.01449926937052,0.0113137084989848,NA,TRUE,"79","X4_24_3_i","plate2.4","PASS","X4_24","X4_24_3",25,0,366.2,4
"137","plate2.4_80",900.68,2.1785,NA,6.95793072687565,0.00353553390593266,NA,TRUE,"80","X8_37_3_o","plate2.4","PASS","X8_37","X8_37_3",16.6540835812941,8.34591641870587,500,4
"138","plate2.4_81",992.16,2.169,NA,NA,NA,NA,TRUE,"81","C64_3_1_o","plate2.4","PASS","C64_3","C64_3_1",15.1185292694727,9.88147073052733,500,3
"139","plate2.4_82",776.52,2.1065,NA,13.406744571297,0.00777817459305211,NA,TRUE,"82","X9_35_2_i","plate2.4","PASS","X9_35","X9_35_2",19.3169525575645,5.68304744243548,500,3
"140","plate2.4_83",560.72,2.1435,NA,3.3941125496954,0.000707106781186784,NA,TRUE,"83","A04_2_3_i","plate2.4","PASS","A04_2","A04_2_3",25,0,467.266666666667,2
"141","plate2.4_84",434.16,2.1335,NA,25.5689812077056,0.0360624458405137,NA,TRUE,"84","X8_37_2_o","plate2.4","PASS","X8_37","X8_37_2",25,0,361.8,4
"142","plate2.4_85",516.48,2.177,NA,17.5362481734264,0.00141421356237294,NA,TRUE,"85","X8_37_1_o","plate2.4","PASS","X8_37","X8_37_1",25,0,430.4,4
"143","plate2.4_86",691.4,2.1855,NA,19.289872990769,0.00919238815542536,NA,TRUE,"86","C64_3_1_i","plate2.4","PASS","C64_3","C64_3_1",21.6951113682384,3.30488863176164,500,3
"144","plate2.4_87",927.68,2.1805,NA,11.3137084989848,0.0120208152801712,NA,TRUE,"87","A20_2_1_i","plate2.4","PASS","A20_2","A20_2_1",16.1693687478441,8.83063125215591,500,2
"145","plate2.4_88",441.88,2.162,NA,21.2132034355964,0.0353553390593273,NA,TRUE,"88","A04_2_2_o","plate2.4","PASS","A04_2","A04_2_2",25,0,368.233333333333,2
"146","plate2.4_89",911.08,2.176,NA,10.1257691065914,0,NA,TRUE,"89","X8_37_3_i","plate2.4","PASS","X8_37","X8_37_3",16.4639768187206,8.53602318127936,500,4
"147","plate2.4_90",928.52,2.1675,NA,95.8836795288959,0.0205060966544098,NA,TRUE,"90","C14_4_1_i","plate2.4","PASS","C14_4","C14_4_1",16.1547408779563,8.84525912204368,500,4
"148","plate2.4_91",913.52,2.1505,NA,63.6961788492842,0.00070710678118647,NA,TRUE,"91","X8_37_1_i","plate2.4","PASS","X8_37","X8_37_1",16.4200017514669,8.57999824853315,500,4
"149","plate2.4_92",816.88,2.1725,NA,36.5432784517208,0.00070710678118647,NA,TRUE,"92","C14_3_1_o","plate2.4","PASS","C14_3","C14_3_1",18.3625501909705,6.63744980902948,500,3
"150","plate2.4_93",513.36,2.1715,NA,35.7513188567918,0.0233345237791563,NA,TRUE,"93","A04_2_2_i","plate2.4","PASS","A04_2","A04_2_2",25,0,427.8,2
"151","plate2.4_94",1704.2,2.086,NA,39.2019999489822,0.0551543289325506,NA,TRUE,"94","C14_4_1_o","plate2.4","PASS","C14_4","C14_4_1",8.80178382818918,16.1982161718108,500,4
"152","plate2.4_95",929.2,2.136,NA,NA,NA,NA,TRUE,"95","A03_4_1_o","plate2.4","PASS","A03_4","A03_4_1",16.1429186396901,8.85708136030994,500,4
"153","plate2.4_96",1069.2,2.083,NA,NA,NA,NA,TRUE,"96","X9_35_2_o","plate2.4","PASS","X9_35","X9_35_2",14.0291806958474,10.9708193041526,500,3
"154","plate2.4_97",1358.04,2.1635,NA,22.0051630305253,0.00777817459305211,NA,TRUE,"97","A20_2_2_o","plate2.4","PASS","A20_2","A20_2_2",11.0453300344614,13.9546699655386,500,2
"155","plate2.5_101",215.96,2.149,NA,3.73352380466497,0.00141421356237294,NA,TRUE,"101","X2_45_2_o","plate2.5","PASS","X2_45","X2_45_2",25,0,179.966666666667,1
"156","plate2.5_102",546.76,2.133,NA,NA,NA,NA,TRUE,"102","A03_2_3_i","plate2.5","PASS","A03_2","A03_2_3",25,0,455.633333333333,2
"157","plate2.5_103",935.52,2.1335,NA,8.31557574675379,0.00919238815542536,NA,TRUE,"103","C14_2_3_i","plate2.5","PASS","C14_2","C14_2_3",16.0338635197537,8.96613648024628,500,2
"158","plate2.5_104",676.08,2.1435,NA,7.52361615182486,0.000707106781186784,NA,TRUE,"104","C14_2_1_i","plate2.5","PASS","C14_2","C14_2_1",22.1867234646787,2.81327653532126,500,2
"159","plate2.5_105",1394.52,2.141,NA,52.0430590953298,0.00424264068711945,NA,TRUE,"105","A20_2_3_o","plate2.5","PASS","A20_2","A20_2_3",10.7563892952414,14.2436107047586,500,2
"160","plate2.5_106",578.28,2.1335,NA,100.578868555974,0.00070710678118647,NA,TRUE,"106","C14_2_2_i","plate2.5","PASS","C14_2","C14_2_2",25,0,481.9,2
"161","plate2.5_108",763,2.103,NA,30.2076016922893,0.014142135623731,NA,TRUE,"108","C14_2_3_o","plate2.5","PASS","C14_2","C14_2_3",19.6592398427261,5.34076015727392,500,2
"162","plate2.5_109",836.32,2.11,NA,7.07106781186548,0.012727922061358,NA,TRUE,"109","C17_2_2_i","plate2.5","PASS","C17_2","C17_2_2",17.9357183853071,7.06428161469294,500,2
"163","plate2.5_110",819.16,2.1415,NA,10.8611601590254,0.00353553390593298,NA,TRUE,"110","A03_2_3_o","plate2.5","PASS","A03_2","A03_2_3",18.3114409883295,6.68855901167049,500,2
"164","plate2.5_111",776.96,2.144,NA,5.26087445202787,0.00424264068711913,NA,TRUE,"111","X9_35_1_i","plate2.5","PASS","X9_35","X9_35_1",19.3060131795717,5.69398682042834,500,3
"165","plate2.5_112",921.88,2.141,NA,24.437610357807,0.00707106781186532,NA,TRUE,"112","X2_45_1_i","plate2.5","PASS","X2_45","X2_45_1",16.2710981906539,8.72890180934612,500,1
"166","plate2.5_113",1402.76,2.1245,NA,8.03273303427927,0.00636396103067885,NA,TRUE,"113","C17_2_3_i","plate2.5","PASS","C17_2","C17_2_3",10.693204824774,14.306795175226,500,2
"167","plate2.5_115",1057.44,2.129,NA,100.861711268449,0.0410121933088196,NA,TRUE,"115","X2_45_3_o","plate2.5","PASS","X2_45","X2_45_3",14.1852019972764,10.8147980027236,500,1
"168","plate2.5_117",1316.96,2.1195,NA,8.08930157677414,0.00494974746830592,NA,TRUE,"117","C17_2_2_o","plate2.5","PASS","C17_2","C17_2_2",11.3898675738063,13.6101324261937,500,2
"169","plate2.5_118",651.32,2.1245,NA,36.8826897066903,0.00494974746830592,NA,TRUE,"118","C17_3_3_i","plate2.5","PASS","C17_3","C17_3_3",23.0301541484984,1.96984585150156,500,3
"170","plate2.5_119",449.44,2.1445,NA,5.14773736703805,0.00212132034355972,NA,TRUE,"119","X2_45_3_i","plate2.5","PASS","X2_45","X2_45_3",25,0,374.533333333333,1
"171","plate2.5_120",1169.24,2.1435,NA,6.44881384442124,0.000707106781186784,NA,TRUE,"120","X9_35_1_o","plate2.5","PASS","X9_35","X9_35_1",12.8288460880572,12.1711539119428,500,3
"172","plate2.5_121",984.44,2.1505,NA,0.905096679918842,0.00353553390593266,NA,TRUE,"121","X2_45_1_o","plate2.5","PASS","X2_45","X2_45_1",15.2370891064971,9.76291089350291,500,1
"173","plate2.5_98",620.52,2.09,NA,NA,NA,NA,TRUE,"98","X2_45_2_i","plate2.5","PASS","X2_45","X2_45_2",24.1732740282344,0.826725971765615,500,1
"174","plate1.2_40",582.3,2.1695,1.06043989,11.9359624664289,0.023334523779156,0.0243669180644648,TRUE,"40","X11_68_2_o","plate1.2","PASS","X11_68","X11_68_2",25,0,485.25,2
"175","plate1.3_49",425.28,2.2005,1.0612244895,50.1762971929974,0.0106066017177983,0.00577230003812271,TRUE,"49","C64_1_1_o","plate1.3","PASS","C64_1","C64_1_1",25,0,354.4,1
"176","plate1.3_72",418.96,2.142,0.9747139225,11.3702770414797,0.00707106781186532,0.0240721980793865,TRUE,"72","C64_1_3_i","plate1.3","PASS","C64_1","C64_1_3",25,0,349.133333333333,1
"177","plate1.4_82",262.4,2.1655,NA,5.65685424949238,0.00636396103067885,NA,TRUE,"82","A27_1_3_o","plate1.4","PASS","A27_1","A27_1_3",25,0,218.666666666667,1
"178","plate1.4_86",1078.4,1.965,NA,1151.73552519665,0.243244732728172,NA,TRUE,"86","X4_46_3_o","plate1.4","PASS","X4_46","X4_46_3",13.9094955489614,11.0905044510386,500,3
"179","plate2.1_12",551.08,2.165,NA,97.6938728887334,0.00141421356237294,NA,TRUE,"12","X5_36_1_i","plate2.1","PASS","X5_36","X5_36_1",25,0,459.233333333333,4
"180","plate2.1_14",577.72,2.1385,NA,47.3478700682512,0.0417193000900064,NA,TRUE,"14","A03_4_2_i","plate2.1","PASS","A03_4","A03_4_2",25,0,481.433333333333,4
"181","plate2.1_15",588.32,2.175,NA,0.791959594928936,0.00141421356237325,NA,TRUE,"15","A03_4_3_o","plate2.1","PASS","A03_4","A03_4_3",25,0,490.266666666667,4
"182","plate2.1_23",580.52,2.1395,NA,2.88499566724106,0.00212132034355972,NA,TRUE,"23","A27_4_3_i","plate2.1","PASS","A27_4","A27_4_3",25,0,483.766666666667,4
"183","plate2.1_5",300.32,2.176,NA,8.82469262920813,0.00989949493661152,NA,TRUE,"5","C64_4_3_i","plate2.1","PASS","C64_4","C64_4_3",25,0,250.266666666667,4
"184","plate2.1_8",330.32,2.147,NA,35.5250446868122,0.0452548339959388,NA,TRUE,"8","C14_4_3_o","plate2.1","PASS","C14_4","C14_4_3",25,0,275.266666666667,4
"185","plate2.2_38",939.52,2.127,NA,9.67322076663202,0.00565685424949207,NA,TRUE,"38","A04_3_1_o","plate2.2","PASS","A04_3","A04_3_1",15.9655994550409,9.03440054495913,500,3
"186","plate2.3_53",501.84,2.0845,NA,40.5030764263655,0.0120208152801712,NA,TRUE,"53","A27_3_1_o","plate2.3","PASS","A27_3","A27_3_1",25,0,418.2,3
"187","plate2.3_69",1034.027,2.1775,NA,3.62038671967505,0.00212132034355941,NA,TRUE,"69","A03_3_2_o","plate2.3","PASS","A03_3","A03_3_2",14.5063910323425,10.4936089676575,500,3
"188","plate2.5_107",1080.2,2.1625,NA,63.3567675943146,0.00636396103067885,NA,TRUE,"107","C64_3_2_o","plate2.5","PASS","C64_3","C64_3_2",13.8863173486391,11.1136826513609,500,3
"189","plate2.5_114",860.56,2.1305,NA,54.928054762571,0.0586898628384836,NA,TRUE,"114","A03_2_2_o","plate2.5","PASS","A03_2","A03_2_2",17.4305103653435,7.5694896346565,500,2
"190","plate2.5_116",549.04,2.115,NA,5.60028570699743,0.0367695526217005,NA,TRUE,"116","C64_3_3_i","plate2.5","PASS","C64_3","C64_3_3",25,0,457.533333333333,3
"191","plate2.5_99",1128.28,2.094,NA,NA,NA,NA,TRUE,"99","C17_2_1_i","plate2.5","PASS","C17_2","C17_2_1",13.2945722692949,11.7054277307051,500,2
