"","tubeID","mean_ng.uL","mean_ratio","mean_230","sd_ng.uL","sd_ratio","sd_230","na.rm","sample_ID","SampleID","plate","QCcheck","genotype","root","uL_to_pipet","water_to_pipet","final_conc","block"
"31","plate1.2_38",640.78,2.114,1.1131887215,33.9976940394492,0.00424264068711913,0.00426983530681694,TRUE,"38","X11_68_3_o","plate1.2","PASS","X11_68","X11_68_3",23.4089703174256,1.59102968257436,500,2
"32","plate1.2_39",410.58,2.1335,1.0714257365,1.47078210486801,0.0275771644662755,0.0141735700556886,TRUE,"39","A04_1_1_i","plate1.2","PASS","A04_1","A04_1_1",25,0,342.15,1
"33","plate1.2_41",664.78,2.143,1.105556277,0.622253967444159,0.012727922061358,0.0142137782685872,TRUE,"41","X4_67_3_i","plate1.2","PASS","X4_67","X4_67_3",22.563855711664,2.43614428833599,500,1
"34","plate1.2_42",606.5,2.101,1.077228261,116.983745879502,0.11879393923934,0.0137578386445053,TRUE,"42","A04_1_2_i","plate1.2","PASS","A04_1","A04_1_2",24.7320692497939,0.267930750206101,500,1
"35","plate1.2_43",1016.5,2.118,1.07540169,181.471884323716,0.0975807358037435,0.0274723655844493,TRUE,"43","C17_1_1_i","plate1.2","PASS","C17_1","C17_1_1",14.756517461879,10.243482538121,500,1
"36","plate1.2_44",397.22,1.914,1.0292555695,55.7765828999949,0.280014285349873,0.0521280992923693,TRUE,"44","X4_46_1_o","plate1.2","PASS","X4_46","X4_46_1",25,0,331.016666666667,3
"37","plate1.2_45",520.74,2.1245,1.076982883,55.4371716450254,0.0304055915910213,0.0059198244329886,TRUE,"45","X4_67_2_i","plate1.2","PASS","X4_67","X4_67_2",25,0,433.95,1
"38","plate1.2_46",380.9,2.127,1.1285790435,3.73352380466499,0.0113137084989845,0.012976906379829,TRUE,"46","X4_67_1_i","plate1.2","PASS","X4_67","X4_67_1",25,0,317.416666666667,1
"39","plate1.2_48",283.46,2.151,1.0579452395,2.71529003975632,0.00707106781186564,0.00988510602072137,TRUE,"48","C64_1_2_i","plate1.2","PASS","C64_1","C64_1_2",25,0,236.216666666667,1
"40","plate1.3_51",196.84,2.08,1.047604183,36.7695526217005,0.0480832611206853,0.228675706841144,TRUE,"51","X5_31_3_i","plate1.3","PASS","X5_31","X5_31_3",25,0,164.033333333333,1
