"","Sample_Name","Sample_Title","Isolate","Organism","Cultivar","Development_stage","Collection_date","Geographic_location","Tissue"
"163","TCDM_3_418_X5_36_rt2_i","418_X5_36_rt2_i","2_i","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"164","TCDM_3_412_X11_68_rt1_i","412_X11_68_rt1_i","1_i","Manihot esculenta","ITH21F011P068","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"165","TCDM_3_219_X2_24_rt2_i","219_X2_24_rt2_i","2_i","Manihot esculenta","ITH21F002P024","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"166","TCDM_3_113_C17_rt2_i","113_C17_rt2_i","2_i","Manihot esculenta","HIL16C017","6 MAP","6/20/23","Ithaca, NY, USA","Storage root inner layer"
"167","TCDM_3_206_C17_rt1_i","206_C17_rt1_i","1_i","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA","Storage root inner layer"
"168","TCDM_3_219_X2_24_rt2_o","219_X2_24_rt2_o","2_o","Manihot esculenta","ITH21F002P024","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"169","TCDM_3_417_X1_54_rt1_o","417_X1_54_rt1_o","1_o","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA"," Storage root outer layer"
"170","TCDM_3_206_C17_rt2_i","206_C17_rt2_i","2_i","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA","Storage root inner layer"
"171","TCDM_3_206_C17_rt3_o","206_C17_rt3_o","3_o","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA"," Storage root outer layer"
"172","TCDM_3_313_X1_54_rt2_o","313_X1_54_rt2_o","2_o","Manihot esculenta","ITH21F001P054","6 MAP","6/21/23","Ithaca, NY, USA"," Storage root outer layer"
"173","TCDM_3_113_C17_rt1_o","113_C17_rt1_o","1_o","Manihot esculenta","HIL16C017","6 MAP","6/20/23","Ithaca, NY, USA"," Storage root outer layer"
"174","TCDM_3_109_X11_68_rt2_o","109_X11_68_rt2_o","2_o","Manihot esculenta","ITH21F011P068","5 MAP","5/29/23","Ithaca, NY, USA"," Storage root outer layer"
"175","TCDM_3_219_X2_24_rt3_o","219_X2_24_rt3_o","3_o","Manihot esculenta","ITH21F002P024","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"176","TCDM_3_109_X11_68_rt1_i","109_X11_68_rt1_i","1_i","Manihot esculenta","ITH21F011P068","5 MAP","5/29/23","Ithaca, NY, USA","Storage root inner layer"
"177","TCDM_3_304_X5_31_rt2_i","304_X5_31_rt2_i","2_i","Manihot esculenta","ITH21F005P031","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"178","TCDM_3_219_X2_24_rt1_o","219_X2_24_rt1_o","1_o","Manihot esculenta","ITH21F002P024","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"179","TCDM_3_109_X11_68_rt3_o","109_X11_68_rt3_o","3_o","Manihot esculenta","ITH21F011P068","5 MAP","5/29/23","Ithaca, NY, USA"," Storage root outer layer"
"180","TCDM_3_303_X11_68_rt3_o","303_X11_68_rt3_o","3_o","Manihot esculenta","ITH21F011P068","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"181","TCDM_3_417_X1_54_rt3_o","417_X1_54_rt3_o","3_o","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA"," Storage root outer layer"
"182","TCDM_3_101_X2_24_rt1_o","101_X2_24_rt1_o","1_o","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA"," Storage root outer layer"
"183","TCDM_3_113_C17_rt3_o","113_C17_rt3_o","3_o","Manihot esculenta","HIL16C017","6 MAP","6/20/23","Ithaca, NY, USA"," Storage root outer layer"
"184","TCDM_3_403_A20_rt1_i","403_A20_rt1_i","1_i","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"185","TCDM_3_113_C17_rt3_i","113_C17_rt3_i","3_i","Manihot esculenta","HIL16C017","6 MAP","6/20/23","Ithaca, NY, USA","Storage root inner layer"
"186","TCDM_3_206_C17_rt3_i","206_C17_rt3_i","3_i","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA","Storage root inner layer"
"187","TCDM_3_206_C17_rt2_o","206_C17_rt2_o","2_o","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA"," Storage root outer layer"
"188","TCDM_3_105_X5_66_rt1_i","105_X5_66_rt1_i","1_i","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"189","TCDM_3_105_X5_66_rt1_o","105_X5_66_rt1_o","1_o","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"190","TCDM_3_105_X5_66_rt2_i","105_X5_66_rt2_i","2_i","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"191","TCDM_3_105_X5_66_rt3_i","105_X5_66_rt3_i","3_i","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"192","TCDM_3_105_X5_66_rt3_o","105_X5_66_rt3_o","3_o","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"193","TCDM_3_106_X4_46_rt2_i","106_X4_46_rt2_i","2_i","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"194","TCDM_3_106_X4_46_rt3_i","106_X4_46_rt3_i","3_i","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"195","TCDM_3_106_X4_46_rt3_o","106_X4_46_rt3_o","3_o","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"196","TCDM_3_107_X4_32_rt2_i","107_X4_32_rt2_i","2_i","Manihot esculenta","ITH21F004P032","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"197","TCDM_3_107_X4_32_rt3_i","107_X4_32_rt3_i","3_i","Manihot esculenta","ITH21F004P032","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"198","TCDM_3_112_X4_67_rt1_i","112_X4_67_rt1_i","1_i","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"199","TCDM_3_112_X4_67_rt2_i","112_X4_67_rt2_i","2_i","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"200","TCDM_3_112_X4_67_rt3_i","112_X4_67_rt3_i","3_i","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"201","TCDM_3_112_X4_67_rt3_o","112_X4_67_rt3_o","3_o","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"202","TCDM_3_118_C14_rt2_i","118_C14_rt2_i","2_i","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"203","TCDM_3_118_C14_rt3_i","118_C14_rt3_i","3_i","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"204","TCDM_3_118_C14_rt3_o","118_C14_rt3_o","3_o","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"205","TCDM_3_205_X1_54_rt1_i","205_X1_54_rt1_i","1_i","Manihot esculenta","ITH21F001P054","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"206","TCDM_3_205_X1_54_rt1_o","205_X1_54_rt1_o","1_o","Manihot esculenta","ITH21F001P054","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"207","TCDM_3_207_A04_rt2_i","207_A04_rt2_i","2_i","Manihot esculenta","HIL16A004","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"208","TCDM_3_210_X11_68_rt2_i","210_X11_68_rt2_i","2_i","Manihot esculenta","ITH21F011P068","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"209","TCDM_3_210_X11_68_rt2_o","210_X11_68_rt2_o","2_o","Manihot esculenta","ITH21F011P068","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"210","TCDM_3_210_X11_68_rt3_i","210_X11_68_rt3_i","3_i","Manihot esculenta","ITH21F011P068","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"211","TCDM_3_210_X11_68_rt3_o","210_X11_68_rt3_o","3_o","Manihot esculenta","ITH21F011P068","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"212","TCDM_3_218_X8_415_rt1_i","218_X8_41.5_rt1_i","1_i","Manihot esculenta","ITH21F008P042","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"213","TCDM_3_218_X8_415_rt2_i","218_X8_41.5_rt2_i","2_i","Manihot esculenta","ITH21F008P042","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"214","TCDM_3_220_X10_39_rt1_i","220_X10_39_rt1_i","1_i","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"215","TCDM_3_220_X10_39_rt2_i","220_X10_39_rt2_i","2_i","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"216","TCDM_3_302_C17_rt1_o","302_C17_rt1_o","1_o","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"217","TCDM_3_302_C17_rt2_i","302_C17_rt2_i","2_i","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"218","TCDM_3_302_C17_rt2_o","302_C17_rt2_o","2_o","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"219","TCDM_3_302_C17_rt3_i","302_C17_rt3_i","3_i","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"220","TCDM_3_304_X5_31_rt1_i","304_X5_31_rt1_i","1_i","Manihot esculenta","ITH21F005P031","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"221","TCDM_4_304_X5_31_rt1_o","304_X5_31_rt3_o","3_o","Manihot esculenta","ITH21F005P031","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"222","TCDM_4_304_X5_31_rt3_o","307_A03_rt2_i","2_i","Manihot esculenta","HIL16A003","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"223","TCDM_4_307_A03_rt2_i","307_A03_rt3_i","3_i","Manihot esculenta","HIL16A003","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"224","TCDM_4_307_A03_rt3_i","317_X4_42_rt1_i","1_i","Manihot esculenta","ITH21F004P042","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"225","TCDM_4_317_X4_42_rt1_i","317_X4_42_rt3_o","3_o","Manihot esculenta","ITH21F004P042","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"226","TCDM_4_317_X4_42_rt3_o","319_X8_37_rt1_i","1_i","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"227","TCDM_4_319_X8_37_rt1_i","319_X8_37_rt1_o","1_o","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"228","TCDM_4_319_X8_37_rt1_o","319_X8_37_rt2_i","2_i","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"229","TCDM_4_319_X8_37_rt2_i","319_X8_37_rt2_o","2_o","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"230","TCDM_4_319_X8_37_rt2_o","319_X8_37_rt3_o","3_o","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"231","TCDM_4_319_X8_37_rt3_o","402_X11_57_rt2_i","2_i","Manihot esculenta","ITH21F011P057","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"232","TCDM_4_402_X11_57_rt2_i","403_A20_rt2_i","2_i","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"233","TCDM_4_407_X2_24_rt1_i","407_X2_24_rt2_i","2_i","Manihot esculenta","ITH21F002P024","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"234","TCDM_4_407_X2_24_rt2_i","407_X2_24_rt2_o","2_o","Manihot esculenta","ITH21F002P024","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"235","TCDM_4_407_X2_24_rt2_o","407_X2_24_rt3_o","3_o","Manihot esculenta","ITH21F002P024","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"236","TCDM_4_407_X2_24_rt3_o","409_X2_45_rt1_i","1_i","Manihot esculenta","ITH21F002P045","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"237","TCDM_4_409_X2_45_rt2_i","409_X2_45_rt3_i","3_i","Manihot esculenta","ITH21F002P045","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"238","TCDM_4_409_X2_45_rt3_o","418_X5_36_rt3_i","3_i","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"239","TCDM_4_418_X5_36_rt3_i","418_X5_36_rt3_o","3_o","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"240","TCDM_4_402_X11_57_rt3_i","317_X4_42_rt1_o","1_o","Manihot esculenta","ITH21F004P042","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"241","TCDM_4_317_X4_42_rt1_o","319_X8_37_rt3_i","3_i","Manihot esculenta","ITH21F008P037","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"242","TCDM_4_319_X8_37_rt3_i","106_X4_46_rt1_o","1_o","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"243","TCDM_4_106_X4_46_rt1_o","220_X10_39_rt3_i","3_i","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"244","TCDM_4_220_X10_39_rt3_i","307_A03_rt1_o","1_o","Manihot esculenta","HIL16A003","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"245","TCDM_4_307_A03_rt1_o","112_X4_67_rt2_o","2_o","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"246","TCDM_4_112_X4_67_rt2_o","304_X5_31_rt2_o","2_o","Manihot esculenta","ITH21F005P031","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"247","TCDM_4_304_X5_31_rt2_o","317_X4_42_rt2_o","2_o","Manihot esculenta","ITH21F004P042","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"248","TCDM_4_317_X4_42_rt2_o","220_X10_39_rt1_o","1_o","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"249","TCDM_4_220_X10_39_rt1_o","418_X5_36_rt1_i","1_i","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"250","TCDM_4_418_X5_36_rt1_i","118_C14_rt1_i","1_i","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"251","TCDM_4_118_C14_rt1_i","207_A04_rt3_o","3_o","Manihot esculenta","HIL16A004","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"252","TCDM_4_207_A04_rt3_o","107_X4_32_rt1_i","1_i","Manihot esculenta","ITH21F004P032","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"253","TCDM_4_107_X4_32_rt1_i","107_X4_32_rt1_o","1_o","Manihot esculenta","ITH21F004P032","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"254","TCDM_4_107_X4_32_rt1_o","105_X5_66_rt2_o","2_o","Manihot esculenta","ITH21F005P066","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"255","TCDM_4_105_X5_66_rt2_o","118_C14_rt1_o","1_o","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"256","TCDM_4_118_C14_rt1_o","407_X2_24_rt1_o","1_o","Manihot esculenta","ITH21F002P024","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"257","TCDM_4_407_X2_24_rt1_o","207_A04_rt2_o","2_o","Manihot esculenta","HIL16A004","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"258","TCDM_4_207_A04_rt2_o","409_X2_45_rt1_o","1_o","Manihot esculenta","ITH21F002P045","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"259","TCDM_4_409_X2_45_rt1_o","403_A20_rt3_i","3_i","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"260","TCDM_4_403_A20_rt3_i","218_X8_41.5_rt1_o","1_o","Manihot esculenta","ITH21F008P042","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"261","TCDM_4_218_X8_415_rt1_o","207_A04_rt1_o","1_o","Manihot esculenta","HIL16A004","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"262","TCDM_4_207_A04_rt1_o","112_X4_67_rt1_o","1_o","Manihot esculenta","ITH21F004P067","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"263","TCDM_4_112_X4_67_rt1_o","402_X11_57_rt1_i","1_i","Manihot esculenta","ITH21F011P057","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"264","TCDM_4_402_X11_57_rt1_i","418_X5_36_rt1_o","1_o","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"265","TCDM_4_418_X5_36_rt1_o","403_A20_rt3_o","3_o","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"266","TCDM_4_403_A20_rt3_o","307_A03_rt2_o","2_o","Manihot esculenta","HIL16A003","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"267","TCDM_4_307_A03_rt2_o","220_X10_39_rt3_o","3_o","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"268","TCDM_4_220_X10_39_rt3_o","402_X11_57_rt1_o","1_o","Manihot esculenta","ITH21F011P057","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"269","TCDM_4_402_X11_57_rt1_o","107_X4_32_rt3_o","3_o","Manihot esculenta","ITH21F004P032","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"270","TCDM_4_107_X4_32_rt3_o","418_X5_36_rt2_o","2_o","Manihot esculenta","ITH21F005P036","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"271","TCDM_4_418_X5_36_rt2_o","118_C14_rt2_o","2_o","Manihot esculenta","HIL16C014","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"272","TCDM_4_118_C14_rt2_o","218_X8_41.5_rt3_i","3_i","Manihot esculenta","ITH21F008P042","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"273","TCDM_4_218_X8_415_rt3_i","220_X10_39_rt2_o","2_o","Manihot esculenta","ITH21F010P039","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"274","TCDM_4_220_X10_39_rt2_o","218_X8_41.5_rt2_o","2_o","Manihot esculenta","ITH21F008P042","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"275","TCDM_4_218_X8_415_rt2_o","106_X4_46_rt2_o","2_o","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"276","TCDM_4_106_X4_46_rt2_o","402_X11_57_rt2_o","2_o","Manihot esculenta","ITH21F011P057","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"277","TCDM_4_402_X11_57_rt2_o","303_X11_68_rt2_o","2_o","Manihot esculenta","ITH21F011P068","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"278","TCDM_4_205_X1_54_rt3_i","304_X5_31_rt3_i","3_i","Manihot esculenta","ITH21F005P031","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"279","TCDM_4_304_X5_31_rt3_i","313_X1_54_rt3_i","3_i","Manihot esculenta","ITH21F001P054","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"280","TCDM_4_313_X1_54_rt3_i","205_X1_54_rt2_i","2_i","Manihot esculenta","ITH21F001P054","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"281","TCDM_4_205_X1_54_rt2_i","115_X1_54_rt3_o","3_o","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"282","TCDM_4_115_X1_54_rt3_o","417_X1_54_rt2_o","2_o","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA"," Storage root outer layer"
"283","TCDM_4_411_C17_rt3_i","412_X11_68_rt2_i","2_i","Manihot esculenta","ITH21F011P068","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"284","TCDM_4_210_X11_68_rt1_i","101_X2_24_rt3_i","3_i","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA","Storage root inner layer"
"285","TCDM_4_101_X2_24_rt3_i","207_A04_rt1_i","1_i","Manihot esculenta","HIL16A004","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"286","TCDM_4_307_A03_rt1_i","411_C17_rt2_o","2_o","Manihot esculenta","HIL16C017","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"287","TCDM_4_411_C17_rt2_o","402_X11_57_rt3_o","3_o","Manihot esculenta","ITH21F011P057","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"288","TCDM_4_402_X11_57_rt3_o","417_X1_54_rt2_i","2_i","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA","Storage root inner layer"
"289","TCDM_4_417_X1_54_rt2_i","411_C17_rt1_i","1_i","Manihot esculenta","HIL16C017","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"290","TCDM_4_411_C17_rt1_i","303_X11_68_rt3_i","3_i","Manihot esculenta","ITH21F011P068","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"291","TCDM_4_303_X11_68_rt3_i","101_X2_24_rt2_i","2_i","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA","Storage root inner layer"
"292","TCDM_4_101_X2_24_rt2_i","101_X2_24_rt2_o","2_o","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA"," Storage root outer layer"
"293","TCDM_4_101_X2_24_rt2_o","303_X11_68_rt1_o","1_o","Manihot esculenta","ITH21F011P068","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"294","TCDM_4_303_X11_68_rt1_o","106_X4_46_rt1_i","1_i","Manihot esculenta","ITH21F004P046","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"295","TCDM_4_106_X4_46_rt1_i","320_X2_24_rt3_i","3_i","Manihot esculenta","ITH21F002P024","5 MAP","5/30/23","Ithaca, NY, USA","Storage root inner layer"
"296","TCDM_4_320_X2_24_rt3_i","320_X2_24_rt2_o","2_o","Manihot esculenta","ITH21F002P024","5 MAP","5/30/23","Ithaca, NY, USA"," Storage root outer layer"
"297","TCDM_4_320_X2_24_rt2_o","206_C17_rt1_o","1_o","Manihot esculenta","HIL16C017","5 MAP","5/29/23","Ithaca, NY, USA"," Storage root outer layer"
"298","TCDM_4_206_C17_rt1_o","403_A20_rt2_o","2_o","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"299","TCDM_4_403_A20_rt2_o","307_A03_rt3_o","3_o","Manihot esculenta","HIL16A003","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"300","TCDM_4_307_A03_rt3_o","101_X2_24_rt1_i","1_i","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA","Storage root inner layer"
"301","TCDM_4_101_X2_24_rt1_i","302_C17_rt3_o","3_o","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"302","TCDM_4_302_C17_rt3_o","403_A20_rt1_o","1_o","Manihot esculenta","HIL16A020","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"303","TCDM_4_403_A20_rt1_o","409_X2_45_rt2_o","2_o","Manihot esculenta","ITH21F002P045","8 MAP","7/28/23","Ithaca, NY, USA"," Storage root outer layer"
"304","TCDM_4_409_X2_45_rt2_o","407_X2_24_rt3_i","3_i","Manihot esculenta","ITH21F002P024","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"305","TCDM_4_407_X2_24_rt3_i","317_X4_42_rt2_i","2_i","Manihot esculenta","ITH21F004P042","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
"306","TCDM_4_412_X11_68_rt2_i",NA,NA,NA,NA,NA,NA,NA,NA
"307","TCDM_4_317_X4_42_rt2_i",NA,NA,NA,NA,NA,NA,NA,NA
