sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
X12_41_1_i,14.43,10.067,,7/25/22,ground,43.92,,3,5/26/22,
X12_41_1_o,13.74,9.374,orange,7/14/22,,38.42,,3,5/26/22,
X12_41_2_i,14.03,10.077,,7/25/22,ground,46.44,,3,5/26/22,
X12_41_2_o,12.82,8.764,,7/25/22,ground,34.26,,3,5/26/22,
X12_41_3_i,13.67,9.439,,7/25/22,ground,39.73,,3,5/26/22,
X12_41_3_o,14.11,8.79,,7/25/22,ground,28.69,,3,5/26/22,
A04_3_1_i,14.22,9.31,,7/25/22,ground,35.14,,3,5/26/22,
A04_3_1_o,12.32,8.206,orange,7/14/22,,27.44,,3,5/26/22,
A04_3_2_i,12.78,8.875,,,,36.3,,3,5/26/22,
A04_3_2_o,12.5,8.474,,,,31.18,,3,5/26/22,
A04_3_3_i,12.85,8.713,,,,33.27,,3,5/26/22,
A04_3_3_o,11.62,8.292,orange,7/14/22,,33.04,,3,5/26/22,
X11_23_1_i,13.64,9.942,orange,8/1/22,,47.09,,3,5/26/22,
X11_23_1_o,15.26,10.186,,,,41.07,,3,5/26/22,
X11_23_2_i,13.71,9.781,,,,44.35,,3,5/26/22,
X11_23_2_o,12.99,9.066,,7/25/22,ground,38.11,,3,5/26/22,
X11_23_3_i,14.76,10.211,,7/25/22,ground,43.91,,3,5/26/22,
X11_23_3_o,12.83,8.713,,7/25/22,ground,33.38,,3,5/26/22,
X9_62_1_i,13.08,9.644,orange,6/21/22,block 4 orange tubes,46.56,,4,5/27/22,9.705
X9_62_1_o,12.56,9.094,orange,6/21/22,called X12-29,41.35,,4,5/27/22,9.434
X9_62_2_i,12.34,9.484,orange,6/21/22,called X12-29,49.81,,4,5/27/22,9.516
X9_62_2_o,12.35,9.177,orange,6/21/22,called X12-29,44.33,,4,5/27/22,9.236
X9_62_3_i,14.23,9.873,orange,6/21/22,called X12-29,42.52,,4,5/27/22,10.264
X9_62_3_o,11.41,9.277,orange,6/21/22,called X12-29,55.19,,4,5/27/22,9.34
X12_29_1_i,13.68,9.495,orange,6/21/22,called X9-69,40.47,,4,5/27/22,9.518
X12_29_1_o,13.47,9.192,orange,6/21/22,,37.27,,4,5/27/22,9.201
X12_29_2_i,13.22,9.232,orange,6/21/22,,39.3,,4,5/27/22,9.255
X12_29_2_o,13.27,8.867,orange,6/21/22,,33.49,,4,5/27/22,8.88
X12_29_3_i,13.96,9.971,orange,6/21/22,,45.43,,4,5/27/22,10.018
X12_29_3_o,13.3,8.561,orange,6/21/22,,28.74,,4,5/27/22,8.62
X3_28_1_i,13.77,9.446,orange,6/21/22,,39.27,,4,5/27/22,10.011
X3_28_1_o,13.1,9.093,orange,6/21/22,,37.88,,4,5/27/22,9.126
X3_28_2_i,13.57,9.869,orange,6/21/22,,46.52,,4,5/27/22,9.948
X3_28_2_o,13.01,9.052,orange,6/21/22,,37.77,,4,5/27/22,9.197
X3_28_3_i,13.84,9.876,orange,6/21/22,,44.87,,4,5/27/22,9.932
X3_28_3_o,13.25,9.256,orange,6/21/22,,39.48,,4,5/27/22,9.595
A27_4_1_i,13.69,9.374,orange,6/21/22,,38.69,,4,5/27/22,9.545
A27_4_1_o,13.43,9.116,orange,6/21/22,,36.37,,4,5/27/22,9.184
A27_4_2_i,14.14,9.25,orange,6/21/22,,34.71,,4,5/27/22,9.655
A27_4_2_o,13.53,8.503,orange,6/21/22,,26.93,,4,5/27/22,9.155
A27_4_3_i,12.49,8.878,orange,6/21/22,,38.15,,4,5/27/22,8.925
A27_4_3_o,13.57,8.705,orange,6/21/22,,29.7,,4,5/27/22,8.795
X10_39_1_i,14.39,9.98,orange,6/21/22,,43.02,,4,5/27/22,10.534
X10_39_1_o,12.78,8.976,orange,6/21/22,,37.94,,4,5/27/22,9.04
X10_39_2_i,13.81,9.658,orange,6/21/22,,42.01,,4,5/27/22,10.137
X10_39_2_o,12.6,9.069,orange,6/21/22,,40.66,,4,5/27/22,9.14
X10_39_3_i,13.69,9.711,orange,6/21/22,,43.48,,4,5/27/22,9.763
X10_39_3_o,12.86,8.955,orange,6/21/22,,37.12,,4,5/27/22,9.183
C65_4_1_i,14.31,9.892,orange,6/21/22,,42.32,,4,5/27/22,
C65_4_1_o,12.69,8.818,orange,6/21/22,,35.89,,4,5/27/22,8.866
C65_4_2_i,13,9.35,orange,6/21/22,,42.52,,4,5/27/22,9.4
C65_4_2_o,13.55,9.318,orange,6/21/22,,38.67,,4,5/27/22,9.458
C65_4_3_i,12.85,9.35,orange,6/21/22,,43.55,,4,5/27/22,9.35
C65_4_3_o,12.66,8.857,orange,6/21/22,,36.72,,4,5/27/22,9.001
X4_24_1_i,13.32,9.251,orange,6/21/22,tubes labeled X4_24; actual genotype name is X4_42,39,,4,5/27/22,9.314
X4_24_1_o,13.9,9.454,orange,6/21/22,,38.68,,4,5/27/22,9.525
X4_24_2_i,13.28,9.062,orange,6/21/22,,36.38,,4,5/27/22,9.227
X4_24_2_o,14.61,9.569,orange,6/21/22,"purple DMC highlight= Seren weighed, dried ",36.67,,4,5/27/22,9.669
X4_24_3_i,13.8,9.4,orange,6/17/22,yellow DMC highlight =Jiho weighed,38.46,,4,5/27/22,9.46
X4_24_3_o,14.13,9.54,orange,6/17/22,,38.64,,4,5/27/22,9.65
X7_22_1_i,13.87,9.86,orange,6/17/22,,44.46,,4,5/27/22,10.16
X7_22_1_o,13.34,9.51,orange,6/17/22,,42.75,,4,5/27/22,9.78
X7_22_2_i,14.7,10.24,orange,6/17/22,,44.6,,4,5/27/22,10.85
X7_22_2_o,13.44,9.06,orange,6/17/22,,35.49,,4,5/27/22,9.07
X7_22_3_i,13.07,9.79,orange,6/17/22,,48.91,,4,5/27/22,9.81
X7_22_3_o,13.33,9.46,orange,6/17/22,,42.07,,4,5/27/22,9.54
X8_37_1_i,14.11,9.87,orange,6/17/22,"very tough, almost chalky",43.16,,4,5/27/22,10.45
X8_37_1_o,12.71,9.3,orange,6/17/22,,43.73,,4,5/27/22,9.7
X8_37_2_i,13.5,9.68,orange,6/17/22,,44.23,,4,5/27/22,9.81
X8_37_2_o,11.82,9.03,orange,6/17/22,,46.03,,4,5/27/22,9.11
X8_37_3_i,13.7,10.01,orange,6/17/22,,47.66,,4,5/27/22,10.2
X8_37_3_o,12.6,8.92,orange,6/17/22,,38.15,,4,5/27/22,9.23
C14_4_1_i,10.74,8.29,orange,6/17/22,only one root,40.1,,4,5/27/22,8.49
C14_4_1_o,13.66,9.052,orange,6/17/22,,34.27,,4,5/27/22,9.9
X11_43_1_i,14.71,10.16,orange,,,43.55,,4,5/27/22,10.62
X11_43_1_o,13.56,9.29,orange,,,38.21,,4,5/27/22,9.36
X11_43_2_i,14.88,10.19,orange,,,43.01,,4,5/27/22,10.5
X11_43_2_o,14.05,9.64,orange,,,40.41,,4,5/27/22,10.53
X11_43_3_i,15.86,10.56,orange,,,42.45,,4,5/27/22,11.6
X11_43_3_o,13.2,9.46,orange,,,42.9,,4,5/27/22,9.91
X12_59_1_i,17.34,11.15,orange,,,42.1,,4,5/27/22,13.44
X12_59_1_o,14.4,8.97,orange,,,29.94,,4,5/27/22,9.9
X12_59_2_i,14.98,9.86,orange,,,38.54,,4,5/27/22,11.11
X12_59_2_o,15.17,9.5,orange,,,33.45,,4,5/27/22,10.86
X12_59_3_i,15.95,10.39,orange,,,40.22,,4,5/27/22,10.73
X12_59_3_o,13.51,8.85,orange,,,32.07,,4,5/27/22,9.35
X2_24_1_i,14.41,9.6,orange,,,38.02,,4,5/27/22,9.65
X2_24_1_o,13.83,9.66,orange,,,41.92,,4,5/27/22,9.76
X2_24_2_i,14.98,9.87,orange,,,38.66,,4,5/27/22,10.55
X2_24_2_o,12.31,9,orange,,,41.52,,4,5/27/22,9.08
X2_24_3_i,14.82,9.81,orange,,,38.68,,4,5/27/22,10.25
X2_24_3_o,13.75,9.81,orange,,,44.51,,4,5/27/22,
A03_4_1_i,16.69,10.79,orange,,,41.24,,4,5/27/22,11.5
A03_4_1_o,13.67,8.99,orange,,,33.33,,4,5/27/22,9.01
A03_4_2_i,14.64,9.94,orange,,,41.18,,4,5/27/22,
A03_4_2_o,13.57,9.44,orange,,,40.32,,4,5/27/22,
A03_4_3_i,17.31,11.21,orange,,,42.78,,4,5/27/22,
A03_4_3_o,13.67,9.44,orange,,,39.74,,4,5/27/22,
X6_65_1_i,13.8,9.4,orange,,,38.46,,4,5/27/22,
X6_65_1_o,12.57,8.96,orange,,,39.02,,4,5/27/22,
X6_65_2_i,16.83,10.88,orange,,,41.55,,4,5/27/22,
X6_65_2_o,14.65,9.56,orange,,,36.38,,4,5/27/22,
X6_65_3_i,16.17,10.59,orange,,,41.39,,4,5/27/22,
X6_65_3_o,13.11,9.257,orange,7/14/22,,40.36,,4,5/27/22,
C64_4_1_i,17.11,10.7,orange,,,38.72,,4,5/27/22,10.158
C64_4_1_o,12.64,8.68,orange,,,33.89,,4,5/27/22,
C64_4_2_i,15.01,9.9,orange,,,38.88,,4,5/27/22,
C64_4_2_o,13.53,9.16,orange,,,36.48,,4,5/27/22,
C64_4_3_i,13.7,9.14,orange,,,35.32,,4,5/27/22,
C64_4_3_o,13.94,9.24,orange,,,35.53,,4,5/27/22,
X5_36_1_i,14.49,9.83,orange,,,40.56,,4,5/27/22,
X5_36_1_o,13.85,9.26,orange,,,36.25,,4,5/27/22,
X5_36_2_i,17.51,10.95,orange,,,39.59,,4,5/27/22,
X5_36_2_o,13.82,9.45,orange,,,39.05,,4,5/27/22,
X5_36_3_i,14.82,9.74,orange,,,37.82,,4,5/27/22,
X5_36_3_o,13.33,9.234,orange,7/14/22,,38.68,,4,5/27/22,
