sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
X6_26_2_i,13.95,9.622,white,7/27/22,,40.71,,1,5/24/22,
X6_26_2_o,12.17,8.986,white,7/27/22,,42.32,,1,5/24/22,
X6_26_3_i,13.72,9.834,white,7/27/22,,45.04,,1,5/24/22,
X6_26_3_o,12.75,9.146,white,7/27/22,,40.92,,1,5/24/22,
X9_27_1_i,10.93,8.668,white,7/27/22,,47.15,,1,5/24/22,
X9_27_1_o,13.53,9.527,white,7/27/22,,41.82,,1,5/24/22,
X9_27_2_i,11.99,9.027,white,7/27/22,,44.51,,1,5/24/22,
X9_27_2_o,13.46,9.612,white,7/27/22,,43.49,,1,5/24/22,
X9_27_3_i,12.25,9.238,white,7/27/22,,46.21,,1,5/24/22,
X9_27_3_o,10.69,8.432,white,7/27/22,,44.11,,1,5/24/22,
X3_61_1_i,14.24,9.948,white,7/27/22,ants on roots,43.45,,1,5/24/22,
X3_61_1_o,13.81,9.244,white,7/27/22,,36.23,,1,5/24/22,
X3_61_2_i,13.89,9.446,white,7/27/22,,38.62,,1,5/24/22,
X3_61_2_o,13.38,8.757,white,7/27/22,,31.31,,1,5/24/22,
X3_61_3_i,13.94,9.951,white,7/27/22,,45.28,,1,5/24/22,
X3_61_3_o,13.2,9.261,,7/27/22,,39.86,,1,5/24/22,
A04_1_1_i,12.02,8.799,,7/27/22,,40.02,,1,5/24/22,
A04_1_1_o,14.11,9.307,white,7/27/22,,35.62,,1,5/24/22,
A04_1_2_i,11.46,8.559,white,8/1/22,,39.69,,1,5/24/22,
A04_1_2_o,14.03,9.345,white,7/27/22,,36.52,,1,5/24/22,
A04_1_3_i,10.25,8.191,white,7/27/22,,42.81,,1,5/24/22,
A04_1_3_o,12.34,8.864,white,7/27/22,,38.91,,1,5/24/22,
C64_1_1_i,14.72,9.898,white,7/27/22,,40.25,,1,5/24/22,
C64_1_1_o,13.32,9.193,white,8/1/22,,38.12,,1,5/24/22,
C64_1_2_i,12.73,9.284,white,8/1/22,,43.33,,1,5/24/22,
C64_1_2_o,12.71,9.006,white,7/27/22,,38.88,,1,5/24/22,
C64_1_3_i,12.64,9.245,white,8/1/22,,43.32,,1,5/24/22,
C64_1_3_o,13.64,9.305,white,8/1/22,,37.98,,1,5/24/22,
X4_67_1_i,16.89,11.128,white,8/1/22,correct x4_67_1_i,43.73,,1,5/24/22,
X4_67_1_o,16.3,10.561,white,8/1/22,,40.52,,1,5/24/22,
X4_67_2_i,,10.081,white,8/1/22,missing rep 2 fresh weight,,,1,5/24/22,
X4_67_2_o,,9.027,white,8/1/22,,,,1,5/24/22,
X4_67_3_i,14.84,10.441,white,8/1/22,,46.28,,1,5/24/22,
X4_67_3_o,14.74,9.921,white,8/1/22,,40.43,,1,5/24/22,
C17_1_1_i,13.87,9.841,white,8/1/22,,44.2,,1,5/24/22,
C17_1_1_o,15.46,10.37,white,8/1/22,,42.22,,1,5/24/22,
C17_1_2_i,12.37,9.225,white,7/14/22,,45.02,,1,5/24/22,
C17_1_2_o,15.07,10.063,white,7/14/22,,40.53,,1,5/24/22,
C17_1_3_i,13.5,9.87,white,7/27/22,,47.01,,1,5/24/22,
C17_1_3_o,14.63,10.242,white,8/3/22,may have re-lyophilized; definitely correct label,45.01,,1,5/24/22,
X9_21_1_i,12.75,9.584,white,8/1/22,,48.1,,1,5/24/22,
X9_21_1_o,13.24,9.307,white,8/1/22,,40.31,,1,5/24/22,
X9_21_2_i,13.35,9.461,white,8/1/22,,41.95,,1,5/24/22,
X9_21_2_o,13.71,8.894,white,8/1/22,,38.54,,1,5/24/22,
X9_21_3_i,12.7,9.371,white,8/1/22,,44.98,,1,5/24/22,
X9_21_3_o,11.21,8.573,white,8/1/22,,42.18,,1,5/24/22,
C43_2_1_i,11.57,8.868,white,8/1/22,,45.08,,2,5/25/22,
C43_2_1_o,13.76,9.366,white,8/1/22,,38.21,,2,5/25/22,
C43_2_2_i,12.19,9.28,white,8/1/22,,47.47,,2,5/25/22,
C43_2_2_o,12.7,9.191,white,8/1/22,,42.01,,2,5/25/22,
C43_2_3_i,8.34,7.555,white,8/1/22,,53.56,,2,5/25/22,
C43_2_3_o,12.13,8.766,white,8/1/22,,38.61,,2,5/25/22,
X7_48_1_i,11.37,8.958,,7/20/22,,48.9,,2,5/25/22,
X7_48_1_o,13.03,10.347,,7/20/22,,57.95,,2,5/25/22,
X7_48_2_i,11.87,7.864,,7/20/22,,23.26,,2,5/25/22,
X7_48_2_o,12.88,9.368,,7/20/22,,43.63,,2,5/25/22,
X7_48_3_i,9.82,6.412,,7/20/22,,-7.51,,2,5/25/22,
X7_48_3_o,13.24,10.583,,7/20/22,,59.68,,2,5/25/22,
X1_34_1_i,11.73,9.001,,7/20/22,,46.28,,2,5/25/22,
X1_34_1_o,13.89,11.915,,7/20/22,,72.72,,2,5/25/22,
X1_34_2_i,11.69,7.562,,7/20/22,,18.1,,2,5/25/22,
X1_34_2_o,14.62,12.55,,7/20/22,,74.03,,2,5/25/22,
X1_34_3_i,11.5,8.231,,7/20/22,,32.6,,2,5/25/22,
X1_34_3_o,12.47,10.123,,7/20/22,,59.67,,2,5/25/22,
A04_2_1_i,11.77,8.57,,7/27/22,,37.5,,2,5/25/22,
A04_2_1_o,12.34,,,,,,,2,5/25/22,
A04_2_2_i,10.75,7.341,,7/27/22,,16.85,,2,5/25/22,
A04_2_2_o,11.26,8.23,,7/27/22,,34.27,,2,5/25/22,
A04_2_3_i,12.81,9.154,,7/27/22,,40.65,,2,5/25/22,
A04_2_3_o,13.37,9.677,,7/27/22,,45.04,,2,5/25/22,
A01_2_1_i,10,6.17,,7/20/22,,-14.33,,2,5/25/22,
A01_2_1_o,13.13,10.151,,7/20/22,,54.03,,2,5/25/22,
A01_2_2_i,12.3,9.403,,7/20/22,,48.73,,2,5/25/22,
A01_2_2_o,12.22,8.979,,7/20/22,,41.81,,2,5/25/22,
A01_2_3_i,9.71,6.153,,7/20/22,,-16.24,,2,5/25/22,
A01_2_3_o,15.14,13.963,,7/20/22,,86.14,,2,5/25/22,
X6_53_1_i,14.74,10.024,,7/25/22,ground,41.71,,2,5/25/22,
X6_53_1_o,12.94,9.338,white,8/3/22,,42.73,,2,5/25/22,
X6_53_2_i,11.63,8.723,white,8/3/22,,41.63,,2,5/25/22,
X6_53_2_o,12.42,,,,,,,2,5/25/22,
X6_53_3_i,15.16,10.43,white,8/3/22,,44.42,,2,5/25/22,
X6_53_3_o,13.8,9.837,white,8/3/22,,44.57,,2,5/25/22,
C17_2_1_i,11.66,8.985,white,8/3/22,,46.61,,2,5/25/22,
C17_2_1_o,14.02,10.042,white,8/3/22,,46.02,,2,5/25/22,
C17_2_2_i,11.58,8.947,white,8/3/22,,46.59,,2,5/25/22,
C17_2_2_o,14.32,10.046,white,8/3/22,,44.28,,2,5/25/22,
C17_2_3_i,13.57,9.752,white,8/3/22,,44.83,,2,5/25/22,
C17_2_3_o,13.47,9.781,white,8/3/22,,45.91,,2,5/25/22,
A03_2_1_i,12.22,9.017,white,8/3/22,,42.5,,2,5/25/22,
A03_2_1_o,12.73,8.919,,7/25/22,ground,37.32,,2,5/25/22,
A03_2_2_i,16.01,10.793,,7/25/22,ground,44.26,,2,5/25/22,
A03_2_2_o,12.8,8.976,white,8/3/22,,37.82,,2,5/25/22,
A03_2_3_i,12.79,9.216,white,8/3/22,,41.79,,2,5/25/22,
A03_2_3_o,13.56,9.299,white,8/3/22,,38.34,,2,5/25/22,
X3_60_1_i,13.99,9.569,,,,39.77,,2,5/25/22,
X3_60_1_o,13.47,9.507,,7/25/22,ground,41.89,,2,5/25/22,
X3_60_2_i,14.1,9.918,,7/25/22,ground,43.87,,2,5/25/22,
X3_60_2_o,13.15,9.205,,7/25/22,ground,39.31,,2,5/25/22,
X3_60_3_i,14.04,9.904,,7/25/22,ground,44.03,,2,5/25/22,
X3_60_3_o,12.53,9.091,,7/25/22,ground,41.51,,2,5/25/22,
X9_51_1_i,12.84,9.51,,7/25/22,ground,46.2,,2,5/25/22,
X9_51_1_o,12.93,9.216,,7/25/22,ground,40.86,,2,5/25/22,
X9_51_2_i,15.87,10.725,,7/25/22,ground,44.2,,2,5/25/22,
X9_51_2_o,14.28,9.376,,7/25/22,ground,35.73,,2,5/25/22,
X9_51_3_i,15.01,10.321,,7/25/22,ground,43.91,,2,5/25/22,
X9_51_3_o,14.47,9.946,,7/25/22,ground,42.15,,2,5/25/22,
X11_68_1_i,14.5,10.445,,7/25/22,ground,48.34,,2,5/25/22,
X11_68_1_o,13.69,9.839,,7/25/22,ground,45.3,,2,5/25/22,
