"SampleID","meansuc_mg_g","mean_totalsugar","meanglc_mg_g","mean_starch_mg_g","genotype","block","harvest_date","rootnum","layer","year","PlateName"
"X3_61_2",120.716237250507,139.514019402985,18.7977821524788,399.94358234249,"X3_61",0,"2021","2","both","2021","preliminary"
"X4_32_1",120.599336086352,124.799767691471,4.20043160511831,598.035141604577,"X4_32",0,"2021","1","both","2021","preliminary"
"X4_32_2",69.2071584128598,76.832014820179,7.62485640731924,751.192033885685,"X4_32",0,"2021","2","both","2021","preliminary"
"X4_55_1",36.186466854843,39.0305147310473,2.84404787620435,614.615226906693,"X4_55",0,"2021","1","both","2021","preliminary"
"X4_55_2",42.4568438222756,42.6474459990228,0.190602176747197,769.481095976908,"X4_55",0,"2021","2","both","2021","preliminary"
"X4_67_1",36.7044521532878,37.6243537553984,0.919901602110623,603.563120443972,"X4_67",0,"2021","1","both","2021","preliminary"
"X4_67_2",82.6511554356232,85.5383438328917,2.88718839726853,504.037114130593,NA,0,"2021",NA,"both","2021","preliminary"
"X5_31_1",53.2826229185575,64.3671268820721,11.0845039635147,703.182332046891,"X5_31",0,"2021","1","both","2021","preliminary"
"X5_31_2",65.3539310966881,72.1690953870302,6.81516429034216,751.675733852812,"X5_31",0,"2021","2","both","2021","preliminary"
"X5_66_1",78.6929638945203,83.9000255898796,5.20706169535929,466.716167680849,"X5_66",0,"2021","1","both","2021","preliminary"
"X5_66_2",51.9093335182559,53.3471530668991,1.43781954864315,775.004801475379,"X5_66",0,"2021","2","both","2021","preliminary"
"X6_26_2",62.4937811246423,69.3902906780257,6.89650955338336,625.484732362725,"X6_26",0,"2021","2","both","2021","preliminary"
"X6_53_1",62.1567201403166,64.2850732802144,2.12835313989783,648.398552948481,"X6_53",0,"2021","1","both","2021","preliminary"
"X6_53_2",52.6001709276281,57.1364088480422,4.53623792041412,678.74139737433,"X6_53",0,"2021","2","both","2021","preliminary"
"X6_65_2",58.5420420771035,61.2114929204882,2.66945084338463,665.387162170401,"X6_65",0,"2021","2","both","2021","preliminary"
"X7_22_1",32.2081043446385,32.8701602681253,0.662055923486752,860.68005902397,NA,0,"2021",NA,"both","2021","preliminary"
"X8_33_1",35.8038061621123,38.2576854469692,2.45387928485689,668.551851946727,"X8_33",0,"2021","1","both","2021","preliminary"
"X8_33_2",58.7667978870909,68.7854718059513,10.0186739188605,743.243938876214,"X8_33",0,"2021","2","both","2021","preliminary"
"X8_64_1",69.547939462782,70.46398622592,0.916046763138018,532.415935278752,"X8_64",0,"2021","1","both","2021","preliminary"
"X8_64_2",NA,131.668809684188,NA,586.646430020897,"X8_64",0,"2021","2","both","2021","preliminary"
"X9_21_2",27.2661430091685,28.2179340771117,0.951791067943197,1017.91464171153,"X9_21",0,"2021","2","both","2021","preliminary"
"X9_35_1",51.2013712420549,52.8545119682671,1.6531407262122,717.062399778463,"X9_35",0,"2021","1","both","2021","preliminary"
"X9_35_2",50.5925253755092,51.6901668602322,1.09764148472293,668.677596533348,"X9_35",0,"2021","2","both","2021","preliminary"
"X9_51_2",63.3041164254158,76.413548324471,13.1094318990551,613.767452335002,"X9_51",0,"2021","2","both","2021","preliminary"
"X9_62_1",82.3889945655824,99.9048817951293,17.5158872295469,691.116883574574,"X9_62",0,"2021","1","both","2021","preliminary"
"X9_62_2",98.7336444264985,110.772024480351,12.0383800538522,653.931766244675,"X9_62",0,"2021","2","both","2021","preliminary"
"A01_1_1_i",NA,NA,NA,609.836245294956,"A01",1,"5/24/22","1","i","2022","2021_starch_44-86"
"A01_1_1_o",NA,9.57009997207411,NA,529.467930466972,"A01",1,"5/24/22","1","o","2022","2021_starch_1-43"
"A01_1_2_i",21.6519233794946,19.7719978527852,-1.87992552670943,400.837983225037,"A01",1,"5/24/22","2","i","2022","2021_RNAselected_starch-lastset"
"A01_1_3_i",NA,12.6968321818757,NA,951.366558825801,"A01",1,"5/24/22","3","i","2022","2021_starch_44-86"
"A01_1_3_o",NA,NA,16.3257331576682,583.791742106744,"A01",1,"5/24/22","3","o","2022","2021_starch_44-86"
"A01_2_1_i",12.996313174806,15.1349028686746,2.13858969386864,681.314269799316,"A01",2,"25-May","1","i","2022","2021_starch_44-86"
"A01_2_1_o",NA,NA,NA,596.154518744393,"A01",2,"25-May","1","o","2022","2021_starch_44-86"
"A01_2_1_o",NA,NA,NA,596.154518744393,"A01",2,"25-May","1","o","2022","2021_starch_44-86"
"A01_2_2_i",10.3280146108319,11.6687005152681,1.34068590443614,793.955203695347,"A01",2,"25-May","2","i","2022","2021_starch_44-86"
"A01_2_3_i",8.86589411288025,10.3524037767212,1.48650966384094,749.121099325967,"A01",2,"25-May","3","i","2022","2021_starch_44-86"
"A01_2_3_o",NA,13.0370931831753,NA,561.702062633355,"A01",2,"25-May","3","o","2022","2021_starch_1-43"
"A01_3_1_i",7.52961944881521,10.489153290742,2.95953384192683,790.831683058916,"A01",3,"26-May","1","i","2022","2021_starch_1-43"
"A01_3_1_o",NA,NA,25.3829799016916,728.341572699156,"A01",3,"26-May","1","o","2022","Trial1Starch-3_fulldigest"
"A01_3_2_i",NA,9.56662336121614,NA,739.399024659878,"A01",3,"26-May","2","i","2022","2021_starch_1-43"
"A01_3_2_o",7.22279194914686,13.5982179808354,6.37542603168854,733.439657411272,"A01",3,"26-May","2","o","2022","2021_starch_1-43"
"A01_3_3_o",10.20534022748,18.224196613312,8.018856385832,883.592306660696,"A01",3,"26-May","3","o","2022","Trial1Starch-3_fulldigest"
"A03_2_1_i",NA,24.4189959167257,NA,596.726426935264,"A03",2,"25-May","1","i","2022","78-120 rna_green_plates"
"A03_2_1_o",27.1930414823917,31.7211350243748,4.52809354198313,701.479440673085,"A03",2,"25-May","1","o","2022","2021_RNAselected_starch-1"
"A03_2_2_i",NA,23.2422739215856,NA,874.509582321376,"A03",2,"25-May","2","i","2022","121-163_rna_green_plates"
"A03_2_2_o",33.1641661638271,41.0107025914903,7.8465364276632,839.185438421369,"A03",2,"25-May","2","o","2022","78-120 rna_green_plates"
"A03_2_2_o",33.1641661638271,41.0107025914903,7.8465364276632,711.872632190069,"A03",2,"25-May","2","o","2022","78-120_rna_green_plates"
"A03_2_3_i",23.8744476782178,23.0727497234545,-0.801697954763243,775.115766586249,"A03",2,"25-May","3","i","2022","78-120 rna_green_plates"
"A03_2_3_i",23.8744476782178,23.0727497234545,-0.801697954763243,773.211870174589,"A03",2,"25-May","3","i","2022","78-120_rna_green_plates"
"A03_2_3_o",32.2553354950432,35.3566538111441,3.10131831610094,693.388268971374,"A03",2,"25-May","3","o","2022","78-120 rna_green_plates"
"A03_2_3_o",32.2553354950432,35.3566538111441,3.10131831610094,636.419182461543,"A03",2,"25-May","3","o","2022","78-120_rna_green_plates"
"A03_3_1_i",21.1641823480093,20.5669012678054,-0.59728108020389,1007.14855365016,"A03",3,"26-May","1","i","2022","2021_RNAselected_starch-2"
"A03_3_1_o",21.5026564672374,24.141110794078,2.63845432684066,783.43299104,"A03",3,"26-May","1","o","2022","2021_RNAselected_starch-2"
"A03_3_2_o",NA,41.4217438993535,NA,560.198100892861,"A03",3,"26-May","2","o","2022","121-163_rna_green_plates"
"A03_3_3_i",NA,19.4802870060281,NA,835.189384543933,"A03",3,"26-May","3","i","2022","121-163_rna_green_plates"
"A03_3_3_o",NA,NA,9.29046488645141,962.484064855689,"A03",3,"26-May","3","o","2022","2021_RNAselected_starch-2"
"A03_4_1_i",15.5659964857204,15.2037185326211,-0.362277953099294,1027.61941593421,"A03",4,"27-May","1","i","2022","78-120 rna_green_plates"
"A03_4_1_i",15.5659964857204,15.2037185326211,-0.362277953099294,961.209367150862,"A03",4,"27-May","1","i","2022","78-120_rna_green_plates"
"A03_4_1_o",41.0222689781587,45.4833940818824,4.46112510372367,731.961404182563,"A03",4,"27-May","1","o","2022","78-120 rna_green_plates"
"A03_4_1_o",41.0222689781587,45.4833940818824,4.46112510372367,791.519869083616,"A03",4,"27-May","1","o","2022","78-120_rna_green_plates"
"A03_4_2_i",9.5935209540041,9.2023891031262,-0.391131850877903,1000.73842703753,"A03",4,"27-May","2","i","2022","2021_RNAselected_starch-lastset"
"A03_4_2_o",14.091020818878,20.3052249004491,6.21420408157108,715.507485118506,"A03",4,"27-May","2","o","2022","2021_RNAselected_starch-1"
"A03_4_3_o",17.4771007513965,19.6983710298544,2.22127027845789,619.364685300142,"A03",4,"27-May","3","o","2022","2021_RNAselected_starch-1"
"A04_1_1_i",31.4459960763792,34.4368331761619,2.99083709978267,398.706625886613,"A04",1,"5/24/22","1","i","2022","2021_RNAselected_starch-lastset"
"A04_1_1_o",18.5450392670897,25.4651079625538,6.92006869546412,751.673237567223,"A04",1,"5/24/22","1","o","2022","2021_RNAselected_starch-2"
"A04_1_2_i",25.8367730985894,25.5202087777515,-0.316564320837862,1183.9448486211,"A04",1,"5/24/22","2","i","2022","2021_RNAselected_starch-lastset"
