GO:0016051	biological_process	carbohydrate biosynthetic process	carb
GO:0016052	biological_process	carbohydrate catabolic process	carb
GO:0006721	biological_process	terpenoid metabolic process	carot
GO:0006720	biological_process	isoprenoid metabolic process	carot
GO:0010021	biological_process	amylopectin biosynthetic process	carb
GO:0009011	molecular_function	alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity	carb
GO:0046182	biological_process	L-idonate biosynthetic process	carb
GO:0046178	biological_process	D-gluconate biosynthetic process	carb
GO:0046364	biological_process	monosaccharide biosynthetic process	carb
GO:0071333	biological_process	cellular response to glucose stimulus	carb
GO:0009312	biological_process	oligosaccharide biosynthetic process	carb
GO:0009311	biological_process	oligosaccharide metabolic process	carb
GO:2001070	molecular_function	starch binding	carb
GO:0000271	biological_process	polysaccharide biosynthetic process	carb
GO:0016757	molecular_function	glycosyltransferase activity	carb
GO:0051060	molecular_function	pullulanase activity	carb
GO:0016090	biological_process	prenol metabolic process	carot
GO:0016093	biological_process	polyprenol metabolic process	carot
GO:0051478	biological_process	mannosylglycerate metabolic process	carb
GO:0051479	biological_process	mannosylglycerate biosynthetic process	carb
GO:0062052	biological_process	starch granule initiation	carb
GO:2000905	biological_process	negative regulation of starch metabolic process	carb
GO:0005996	biological_process	monosaccharide metabolic process	carb
GO:0005986	biological_process	sucrose biosynthetic process	carb
GO:0019747	biological_process	regulation of isoprenoid metabolic process	carot
GO:0043288	biological_process	apocarotenoid metabolic process	carot
GO:0006002	biological_process	fructose 6-phosphate metabolic process	carb
GO:0006000	biological_process	fructose metabolic process	carb
GO:0006006	biological_process	glucose metabolic process	carb
GO:0042836	biological_process	D-glucarate metabolic process	carb
GO:0042837	biological_process	D-glucarate biosynthetic process	carb
GO:0005983	biological_process	starch catabolic process	carb
GO:0005982	biological_process	starch metabolic process	carb
GO:0005976	biological_process	polysaccharide metabolic process	carb
GO:0005975	biological_process	carbohydrate metabolic process	carb
GO:0030247	molecular_function	polysaccharide binding	carb
GO:0042214	biological_process	terpene metabolic process	carot
GO:0030388	biological_process	fructose 1,6-bisphosphate metabolic process	carb
GO:0006109	biological_process	regulation of carbohydrate metabolic process	carb
GO:0006097	biological_process	glyoxylate cycle	carb
GO:0043033	cellular_component	isoamylase complex	carb
GO:0045913	biological_process	positive regulation of carbohydrate metabolic process	carb
GO:0045912	biological_process	negative regulation of carbohydrate metabolic process	carb
GO:0043255	biological_process	regulation of carbohydrate biosynthetic process	carb
GO:0045827	biological_process	negative regulation of isoprenoid metabolic process	carot
GO:0045828	biological_process	positive regulation of isoprenoid metabolic process	carot
GO:0033840	molecular_function	alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity	carb
GO:0008300	biological_process	isoprenoid catabolic process	carot
GO:0008299	biological_process	isoprenoid biosynthetic process	carot
GO:1903662	biological_process	L-altrarate metabolic process	carb
GO:0047657	molecular_function	alpha-1,3-glucan synthase activity	carb
GO:0009660	biological_process	amyloplast organization	carb
GO:0010581	biological_process	regulation of starch biosynthetic process	carb
GO:0019520	biological_process	aldonic acid metabolic process	carb
GO:0019685	biological_process	photosynthesis, dark reaction	carb
GO:0009960	biological_process	endosperm development	carb
GO:0046835	biological_process	carbohydrate phosphorylation	carb
GO:0019252	biological_process	starch biosynthetic process	carb
GO:0019401	biological_process	alditol biosynthetic process	carb
GO:0019400	biological_process	alditol metabolic process	carb
