samplenum,sample_ID,timept,harvest_date,plant,root,layer,empty_tube_weight_g,raw_fresh_weight_g,fresh_weight_g,greenhouse_notes,dry_date_out,dry_weight_g,dry_matter%,dry_matter%_complete,Drying_notes,tubeID,corrected_sampleID,corrected_genotypeID
152,203_X11_57_rt1_o,2,6/20/23,203,1,outer,,16.734,16.734,,6/28/23,9.951,32.69,32.69,,203_X11_57_rt1_o,203_X11_57_rt1_o,X11_57
153,203_X11_57_rt2_i,2,6/20/23,203,2,inner,,10.59,10.59,,6/28/23,7.892,31.40,31.40,,203_X11_57_rt2_i,203_X11_57_rt2_i,X11_57
154,203_X11_57_rt2_o,2,6/20/23,203,2,outer,,16.53,16.53,,6/28/23,9.92,33.05,33.05,,203_X11_57_rt2_o,203_X11_57_rt2_o,X11_57
155,203_X11_57_rt3_i,2,6/20/23,203,3,inner,,8.99,8.99,,6/28/23,7.477,35.15,35.15,,203_X11_57_rt3_i,203_X11_57_rt3_i,X11_57
156,203_X11_57_rt3_o,2,6/20/23,203,3,outer,,11.247,11.247,,6/28/23,8.051,30.37,30.37,,203_X11_57_rt3_o,203_X11_57_rt3_o,X11_57
157,204_X2_45_rt1_i,2,6/20/23,204,1,inner,,10.514,10.514,,6/28/23,7.811,29.92,29.92,,204_X2_45_rt1_i,204_X2_45_rt1_i,X2_45
158,204_X2_45_rt1_o,2,6/20/23,204,1,outer,,18.96,18.96,,4/10/24,10.755,33.31,33.31,,204_X2_45_rt1_o,204_X2_45_rt1_o,X2_45
159,204_X2_45_rt2_i,2,6/20/23,204,2,inner,,10.709,10.709,,4/10/24,7.925,31.29,31.29,,204_X2_45_rt2_i,204_X2_45_rt2_i,X2_45
160,204_X2_45_rt2_o,2,6/20/23,204,2,outer,,18.85,18.85,,4/10/24,10.366,30.42,30.42,,204_X2_45_rt2_o,204_X2_45_rt2_o,X2_45
161,204_X2_45_rt3_i,2,6/20/23,204,3,inner,,8.402,8.402,,6/28/23,7.148,28.14,28.14,,204_X2_45_rt3_i,204_X2_45_rt3_i,X2_45
162,204_X2_45_rt3_o,2,6/20/23,204,3,outer,,12.145,12.145,,6/28/23,8.373,31.27,31.27,,204_X2_45_rt3_o,204_X2_45_rt3_o,X2_45
163,208_X10_52_rt1_i,2,6/20/23,208,1,inner,,11.395,11.395,real genotype is X4_32 (corrected in genotypeID column),6/28/23,8.299,34.66,34.66,,208_X10_52_rt1_i,208_X4_32_rt2_i,X4_32
164,208_X10_52_rt1_o,2,6/20/23,208,1,outer,,14.86,14.86,,6/28/23,9.313,32.38,32.38,,208_X10_52_rt1_o,208_X4_32_rt2_o,X4_32
165,208_X10_52_rt2_i,2,6/20/23,208,2,inner,,10.427,10.427,root 2 was bigger (corrected in genotypeID column),6/28/23,7.88,32.44,32.44,,208_X10_52_rt2_i,208_X4_32_rt1_i,X4_32
166,208_X10_52_rt2_o,2,6/20/23,208,2,outer,,15.851,15.851,,4/10/24,9.563,31.61,31.61,,208_X10_52_rt2_o,208_X4_32_rt1_o,X4_32
167,208_X10_52_rt3_i,2,6/20/23,208,3,inner,,7.812,7.812,,6/28/23,7.076,36.28,36.28,,208_X10_52_rt3_i,208_X4_32_rt3_i,X4_32
168,208_X10_52_rt3_o,2,6/20/23,208,3,outer,,12.528,12.528,,6/28/23,8.125,25.00,25.00,,208_X10_52_rt3_o,208_X4_32_rt3_o,X4_32
169,209_A03_rt1_i,2,6/20/23,209,1,inner,,9.635,9.635,,4/10/24,7.433,26.06,26.06,,209_A03_rt1_i,209_A03_rt1_i,A03
170,209_A03_rt1_o,2,6/20/23,209,1,outer,,17.054,17.054,,4/10/24,9.717,29.43,29.43,,209_A03_rt1_o,209_A03_rt1_o,A03
171,209_A03_rt2_i,2,6/20/23,209,2,inner,,9.694,9.694,,4/10/24,7.372,23.54,23.54,,209_A03_rt2_i,209_A03_rt2_i,A03
172,209_A03_rt2_o,2,6/20/23,209,2,outer,,20.086,20.086,,4/10/24,10.76,30.55,30.55,,209_A03_rt2_o,209_A03_rt2_o,A03
173,209_A03_rt3_i,2,6/20/23,209,3,inner,,10.289,10.289,,4/10/24,7.736,29.71,29.71,,209_A03_rt3_i,209_A03_rt3_i,A03
174,209_A03_rt3_o,2,6/20/23,209,3,outer,,16.518,16.518,,4/10/24,9.624,30.09,30.09,,209_A03_rt3_o,209_A03_rt3_o,A03
175,216_X5_31_rt1_i,2,6/20/23,216,1,inner,,9.748,9.748,,4/10/24,7.721,34.42,34.42,,216_X5_31_rt1_i,216_X5_31_rt1_i,X5_31
176,216_X5_31_rt1_o,2,6/20/23,216,1,outer,,14.505,14.505,,4/10/24,9.246,32.99,32.99,,216_X5_31_rt1_o,216_X5_31_rt1_o,X5_31
177,216_X5_31_rt2_i,2,6/20/23,216,2,inner,,10.044,10.044,,4/10/24,7.602,27.90,27.90,,216_X5_31_rt2_i,216_X5_31_rt2_i,X5_31
178,216_X5_31_rt2_o,2,6/20/23,216,2,outer,,15.908,15.908,,4/10/24,9.596,31.77,31.77,,216_X5_31_rt2_o,216_X5_31_rt2_o,X5_31
179,216_X5_31_rt3_i,2,6/20/23,216,3,inner,,9.453,9.453,,4/10/24,7.336,24.28,24.28,,216_X5_31_rt3_i,216_X5_31_rt3_i,X5_31
180,216_X5_31_rt3_o,2,6/20/23,216,3,outer,,14.65,14.65,,4/10/24,8.888,27.91,27.91,,216_X5_31_rt3_o,216_X5_31_rt3_o,X5_31
181,306_X1_34_rt1_i,2,6/20/23,305,1,inner,,9.946,9.946,"real genotype is X10_39, corrected in GID column (original note: 306 should be labeled X10_39 (according to plant tag) (?) there were two 307s. layout says 306 genotype is X4_32, but there was a second 307 labeled X4_32)",4/10/24,7.833,35.76,35.76,,306_X1_34_rt1_i,305_X10_39_rt1_i,X10_39
182,306_X1_34_rt1_o,2,6/20/23,305,1,outer,,16.964,16.964,,4/10/24,9.98,32.24,32.24,,306_X1_34_rt1_o,305_X10_39_rt1_o,X10_39
183,306_X1_34_rt2_i,2,6/20/23,305,2,inner,,8.556,8.556,,4/10/24,7.291,33.39,33.39,,306_X1_34_rt2_i,305_X10_39_rt2_i,X10_39
184,306_X1_34_rt2_o,2,6/20/23,305,2,outer,,16.78,16.78,,4/10/24,9.873,31.77,31.77,,306_X1_34_rt2_o,305_X10_39_rt2_o,X10_39
185,306_X1_34_rt3_i,2,6/20/23,305,3,inner,,9.446,9.446,,4/10/24,7.636,35.10,35.10,,306_X1_34_rt3_i,305_X10_39_rt3_i,X10_39
186,306_X1_34_rt3_o,2,6/20/23,305,3,outer,,17.321,17.321,,4/10/24,10.17,32.94,32.94,,306_X1_34_rt3_o,305_X10_39_rt3_o,X10_39
187,308_X4_46_rt1_i,2,6/20/23,308,1,inner,,10.067,10.067,,4/10/24,7.605,27.80,27.80,,308_X4_46_rt1_i,308_X4_46_rt1_i,X4_46
188,308_X4_46_rt1_o,2,6/20/23,308,1,outer,,18.358,18.358,,4/10/24,10.467,32.56,32.56,,308_X4_46_rt1_o,308_X4_46_rt1_o,X4_46
189,308_X4_46_rt2_i,2,6/20/23,308,2,inner,,8.688,8.688,,4/10/24,7.179,25.70,25.70,,308_X4_46_rt2_i,308_X4_46_rt2_i,X4_46
190,308_X4_46_rt2_o,2,6/20/23,308,2,outer,,18.937,18.937,,,,-54.21,,,308_X4_46_rt2_o,308_X4_46_rt2_o,X4_46
191,308_X4_46_rt3_i,2,6/20/23,308,3,inner,,8.88,8.88,weighed frozen,4/10/24,7.342,30.81,30.81,,308_X4_46_rt3_i,308_X4_46_rt3_i,X4_46
192,308_X4_46_rt3_o,2,6/20/23,308,3,outer,,14.095,14.095,weighed frozen,4/10/24,9.185,33.99,33.99,,308_X4_46_rt3_o,308_X4_46_rt3_o,X4_46
193,309_X5_36_rt1_i,2,6/20/23,309,1,inner,,9.245,9.245,,4/10/24,7.333,26.12,26.12,,309_X5_36_rt1_i,309_X5_36_rt1_i,X5_36
194,309_X5_36_rt1_o,2,6/20/23,309,1,outer,,17.135,17.135,,4/10/24,9.401,26.19,26.19,,309_X5_36_rt1_o,309_X5_36_rt1_o,X5_36
195,309_X5_36_rt2_i,2,6/20/23,309,2,inner,,9.656,9.656,,4/10/24,7.229,19.07,19.07,,309_X5_36_rt2_i,309_X5_36_rt2_i,X5_36
196,309_X5_36_rt2_o,2,6/20/23,309,2,outer,,16.002,16.002,,4/10/24,9.755,33.15,33.15,,309_X5_36_rt2_o,309_X5_36_rt2_o,X5_36
197,309_X5_36_rt3_i,2,6/20/23,309,3,inner,,9.375,9.375,,4/10/24,7.133,17.51,17.51,,309_X5_36_rt3_i,309_X5_36_rt3_i,X5_36
198,309_X5_36_rt3_o,2,6/20/23,309,3,outer,,18.644,18.644,,4/10/24,9.13,20.63,20.63,,309_X5_36_rt3_o,309_X5_36_rt3_o,X5_36
199,312_A20_rt1_i,2,6/21/23,312,1,inner,,10.168,10.168,,7/26/23,7.826,33.30,33.30,,312_A20_rt1_i,312_A20_rt1_i,A20
200,312_A20_rt1_o,2,6/21/23,312,1,outer,,19.334,19.334,,7/26/23,10.507,30.37,30.37,,312_A20_rt1_o,312_A20_rt1_o,A20
201,312_A20_rt2_i,2,6/21/23,312,2,inner,,10.048,10.048,,7/26/23,7.793,33.50,33.50,,312_A20_rt2_i,312_A20_rt2_i,A20
202,312_A20_rt2_o,2,6/21/23,312,2,outer,,13.69,13.69,,7/26/23,18.664,170.72,170.72,,312_A20_rt2_o,312_A20_rt2_o,A20
203,312_A20_rt3_i,2,6/21/23,312,3,inner,,9.192,9.192,,7/26/23,7.498,33.18,33.18,,312_A20_rt3_i,312_A20_rt3_i,A20
204,312_A20_rt3_o,2,6/21/23,312,3,outer,,14.35,14.35,,7/26/23,8.755,27.27,27.27,,312_A20_rt3_o,312_A20_rt3_o,A20
205,313_X1_54_rt1_i,2,6/21/23,313,1,inner,,10.036,10.036,,7/26/23,8.052,41.28,41.28,,313_X1_54_rt1_i,313_X1_54_rt1_i,X1_54
206,313_X1_54_rt1_o,2,6/21/23,313,1,outer,,18.222,18.222,,7/26/23,11.139,38.75,38.75,,313_X1_54_rt1_o,313_X1_54_rt1_o,X1_54
207,313_X1_54_rt2_i,2,6/21/23,313,2,inner,,8.82,8.82,,7/26/23,7.367,32.82,32.82,,313_X1_54_rt2_i,313_X1_54_rt2_i,X1_54
208,313_X1_54_rt2_o,2,6/21/23,313,2,outer,,15.914,15.914,,7/26/23,9.725,33.14,33.14,,313_X1_54_rt2_o,313_X1_54_rt2_o,X1_54
209,313_X1_54_rt3_i,2,6/21/23,313,3,inner,,8.908,8.908,,7/26/23,7.506,37.72,37.72,,313_X1_54_rt3_i,313_X1_54_rt3_i,X1_54
210,313_X1_54_rt3_o,2,6/21/23,313,3,outer,,14.728,14.728,,7/26/23,9.341,33.25,33.25,,313_X1_54_rt3_o,313_X1_54_rt3_o,X1_54
211,410_A04_rt1_i,2,6/21/23,410,1,inner,,9.417,9.402,subtract 0.015 from here below,7/26/23,7.462,29.33,29.33,,410_A04_rt1_i,410_A04_rt1_i,A04
212,410_A04_rt1_o,2,6/21/23,410,1,outer,,15.80,15.785,,7/26/23,9.193,27.78,27.78,,410_A04_rt1_o,410_A04_rt1_o,A04
213,410_A04_rt2_i,2,6/21/23,410,2,inner,,9.14,9.125,,7/26/23,7.361,28.53,28.53,,410_A04_rt2_i,410_A04_rt2_i,A04
214,410_A04_rt2_o,2,6/21/23,410,2,outer,,16.40,16.385,,7/26/23,9.696,31.24,31.24,,410_A04_rt2_o,410_A04_rt2_o,A04
215,410_A04_rt3_i,2,6/21/23,410,3,inner,,9.590,9.575,,7/26/23,7.4,25.46,25.46,,410_A04_rt3_i,410_A04_rt3_i,A04
216,410_A04_rt3_o,2,6/21/23,410,3,outer,,15.776,15.761,,7/26/23,9.303,29.06,29.06,,410_A04_rt3_o,410_A04_rt3_o,A04
217,412_X11_68_rt1_i,2,6/21/23,412,1,inner,,10.589,10.574,,7/26/23,7.82,29.69,29.69,,412_X11_68_rt1_i,412_X11_68_rt1_i,X11_68
218,412_X11_68_rt1_o,2,6/21/23,412,1,outer,,16.143,16.128,,7/26/23,9.35,28.43,28.43,,412_X11_68_rt1_o,412_X11_68_rt1_o,X11_68
219,412_X11_68_rt2_i,2,6/21/23,412,2,inner,,9.564,9.549,,7/26/23,7.557,31.12,31.12,,412_X11_68_rt2_i,412_X11_68_rt2_i,X11_68
220,412_X11_68_rt2_o,2,6/21/23,412,2,outer,,15.671,15.656,,7/26/23,9.306,29.44,29.44,,412_X11_68_rt2_o,412_X11_68_rt2_o,X11_68
221,412_X11_68_rt3_i,2,6/21/23,412,3,inner,,9.503,9.488,,7/26/23,7.542,31.26,31.26,,412_X11_68_rt3_i,412_X11_68_rt3_i,X11_68
222,412_X11_68_rt3_o,2,6/21/23,412,3,outer,,15.133,15.118,,7/26/23,9.249,30.63,30.63,,412_X11_68_rt3_o,412_X11_68_rt3_o,X11_68
223,413_C14_rt1_i,2,6/21/23,413,1,inner,,10.482,10.467,,7/26/23,8.042,36.35,36.35,,413_C14_rt1_i,413_C14_rt1_i,C14
224,413_C14_rt1_o,2,6/21/23,413,1,outer,,14.579,14.564,,7/26/23,9.407,34.78,34.78,,413_C14_rt1_o,413_C14_rt1_o,C14
225,413_C14_rt2_i,2,6/21/23,413,2,inner,,8.329,8.314,,7/26/23,7.221,34.04,34.04,,413_C14_rt2_i,413_C14_rt2_i,C14
226,413_C14_rt2_o,2,6/21/23,413,2,outer,,15.089,15.074,,7/26/23,9.445,33.12,33.12,,413_C14_rt2_o,413_C14_rt2_o,C14
227,413_C14_rt3_i,2,6/21/23,413,3,inner,,16.43,16.415,,7/26/23,7.866,12.39,12.39,,413_C14_rt3_i,413_C14_rt3_i,C14
228,413_C14_rt3_o,2,6/21/23,413,3,outer,,10.127,10.112,,7/26/23,9.783,90.48,90.48,,413_C14_rt3_o,413_C14_rt3_o,C14
229,415_X5_66_rt1_i,2,6/21/23,415,1,inner,,9.049,9.034,"tare 0.035, have been subtracting 0.02",7/26/23,7.415,31.89,31.89,,415_X5_66_rt1_i,415_X5_66_rt1_i,X5_66
230,415_X5_66_rt1_o,2,6/21/23,415,1,outer,,20.198,20.183,,7/26/23,11.174,33.39,33.39,,415_X5_66_rt1_o,415_X5_66_rt1_o,X5_66
231,415_X5_66_rt2_i,2,6/21/23,415,2,inner,,9.979,9.964,,7/26/23,7.403,22.56,22.56,,415_X5_66_rt2_i,415_X5_66_rt2_i,X5_66
232,415_X5_66_rt2_o,2,6/21/23,415,2,outer,,18.140,18.125,,7/26/23,10.77,35.87,35.87,,415_X5_66_rt2_o,415_X5_66_rt2_o,X5_66
233,415_X5_66_rt3_i,2,6/21/23,415,3,inner,,8.020,8.005,,7/26/23,7.169,37.98,37.98,,415_X5_66_rt3_i,415_X5_66_rt3_i,X5_66
234,415_X5_66_rt3_o,2,6/21/23,415,3,outer,,17.454,17.439,,7/26/23,10.511,35.74,35.74,,415_X5_66_rt3_o,415_X5_66_rt3_o,X5_66
235,416_X4_67_rt1_i,2,6/21/23,416,1,inner,,9.785,9.77,,7/26/23,7.732,34.53,34.53,,416_X4_67_rt1_i,416_X4_67_rt1_i,X4_67
236,416_X4_67_rt1_o,2,6/21/23,416,1,outer,,17.699,17.684,,7/26/23,10.635,36.08,36.08,,416_X4_67_rt1_o,416_X4_67_rt1_o,X4_67
237,416_X4_67_rt2_i,2,6/21/23,416,2,inner,,8.973,8.958,,7/26/23,7.339,29.64,29.64,,416_X4_67_rt2_i,416_X4_67_rt2_i,X4_67
238,416_X4_67_rt2_o,2,6/21/23,416,2,outer,,17.46,17.445,,7/26/23,10.02,31.17,31.17,,416_X4_67_rt2_o,416_X4_67_rt2_o,X4_67
239,416_X4_67_rt3_i,2,6/21/23,416,3,inner,,11.252,11.237,,7/26/23,8.033,30.04,30.04,,416_X4_67_rt3_i,416_X4_67_rt3_i,X4_67
240,416_X4_67_rt3_o,2,6/21/23,416,3,outer,,16.331,16.316,,7/26/23,9.361,27.99,27.99,,416_X4_67_rt3_o,416_X4_67_rt3_o,X4_67
241,104_X5_36_rt1_i,3,7/6/23,104,1,inner,,3.126,9.778,"scale tared to empty tube, read 0.005 with empty tube, wrote down number as is on the scale, added avg empty tube weight to the raw reading",6/27/24,7.4902,26.70,26.70,,104_X5_36_rt1_i,104_X5_36_rt1_i,X5_36
242,104_X5_36_rt1_o,3,7/6/23,104,1,outer,,5.138,11.79,,4/10/24,8.222,30.49,30.49,,104_X5_36_rt1_o,104_X5_36_rt1_o,X5_36
243,104_X5_36_rt2_i,3,7/6/23,104,2,inner,,4.345,10.997,,6/27/24,7.7798,25.87,25.87,,104_X5_36_rt2_i,104_X5_36_rt2_i,X5_36
244,104_X5_36_rt2_o,3,7/6/23,104,2,outer,,7.826,14.478,,4/10/24,8.953,29.36,29.36,,104_X5_36_rt2_o,104_X5_36_rt2_o,X5_36
245,104_X5_36_rt3_i,3,7/6/23,104,3,inner,,2.201,8.853,,6/27/24,7.2894,28.80,28.80,,104_X5_36_rt3_i,104_X5_36_rt3_i,X5_36
246,104_X5_36_rt3_o,3,7/6/23,104,3,outer,,3.626,10.278,,6/27/24,7.7355,29.78,29.78,,104_X5_36_rt3_o,104_X5_36_rt3_o,X5_36
247,115_X1_54_rt1_i,3,7/6/23,115,1,inner,,5.583,12.235,,6/27/24,8.2863,29.21,29.21,,115_X1_54_rt1_i,115_X1_54_rt1_i,X1_54
248,115_X1_54_rt1_o,3,7/6/23,115,1,outer,,7.867,14.519,,6/27/24,8.7346,26.43,26.43,,115_X1_54_rt1_o,115_X1_54_rt1_o,X1_54
249,115_X1_54_rt2_i,3,7/6/23,115,2,inner,,3.22,9.872,,6/27/24,7.5754,28.57,28.57,,115_X1_54_rt2_i,115_X1_54_rt2_i,X1_54
250,115_X1_54_rt2_o,3,7/6/23,115,2,outer,,5.87,12.522,,6/27/24,8.1864,26.08,26.08,,115_X1_54_rt2_o,115_X1_54_rt2_o,X1_54
251,115_X1_54_rt3_i,3,7/6/23,115,3,inner,,5.604,12.256,,6/27/24,8.2987,29.32,29.32,,115_X1_54_rt3_i,115_X1_54_rt3_i,X1_54
252,115_X1_54_rt3_o,3,7/6/23,115,3,outer,,8.108,14.76,,6/27/24,8.6394,24.47,24.47,,115_X1_54_rt3_o,115_X1_54_rt3_o,X1_54
253,117_A20_rt1_i,3,7/6/23,117,1,inner,,7.531,14.183,samples in tubes marked 117 are actually 119 (corrected in GID column),6/27/24,8.8869,29.63,29.63,,117_A20_rt1_i,119_X11_57_rt1_i,X11_57
254,117_A20_rt1_o,3,7/6/23,117,1,outer,,13.981,20.633,,6/27/24,10.3047,26.10,26.10,,117_A20_rt1_o,119_X11_57_rt1_o,X11_57
255,117_A20_rt2_i,3,7/6/23,117,2,inner,,5.211,11.863,,6/27/24,8.2823,31.22,31.22,,117_A20_rt2_i,119_X11_57_rt2_i,X11_57
256,117_A20_rt2_o,3,7/6/23,117,2,outer,,7.729,14.381,,4/10/24,8.907,29.13,29.13,,117_A20_rt2_o,119_X11_57_rt2_o,X11_57
257,117_A20_rt3_i,3,7/6/23,117,3,inner,,4.107,10.759,,6/27/24,8.0061,32.89,32.89,,117_A20_rt3_i,119_X11_57_rt3_i,X11_57
258,117_A20_rt3_o,3,7/6/23,117,3,outer,,7.892,14.544,,6/27/24,9.1934,32.16,32.16,,117_A20_rt3_o,119_X11_57_rt3_o,X11_57
259,119_X11_57_rt1_i,3,7/6/23,119,1,inner,,6.374,13.026,samples in tubes marked 119 are actually 120 (corrected in GID column); this tube is handwritten,6/27/24,8.0003,21.09,21.09,,119_X11_57_rt1_i,120_X5_31_rt1_i,X5_31
260,119_X11_57_rt1_o,3,7/6/23,119,1,outer,,5.912,12.564,,6/27/24,7.919,21.36,21.36,,119_X11_57_rt1_o,120_X5_31_rt1_o,X5_31
261,119_X11_57_rt2_i,3,7/6/23,119,2,inner,,5.015,11.667,,6/27/24,7.5678,18.18,18.18,,119_X11_57_rt2_i,120_X5_31_rt2_i,X5_31
262,119_X11_57_rt2_o,3,7/6/23,119,2,outer,,6.6208,13.2728,,6/27/24,7.9282,19.21,19.21,,119_X11_57_rt2_o,120_X5_31_rt2_o,X5_31
263,119_X11_57_rt3_i,3,7/6/23,119,3,inner,,4.996,11.648,,6/27/24,7.8001,22.90,22.90,,119_X11_57_rt3_i,120_X5_31_rt3_i,X5_31
264,119_X11_57_rt3_o,3,7/6/23,119,3,outer,,6.142,12.794,,6/27/24,8.1318,24.03,24.03,,119_X11_57_rt3_o,120_X5_31_rt3_o,X5_31
265,120_X5_31_rt1_i,3,7/6/23,120,1,inner,,4.456,11.108,samples in tubes marked 120 are actually 117 (corrected in GID column),6/27/24,7.9514,29.08,29.08,,120_X5_31_rt1_i,117_A20_rt1_i,A20
266,120_X5_31_rt1_o,3,7/6/23,120,1,outer,,7.932,14.584,,6/27/24,9.1233,31.11,31.11,,120_X5_31_rt1_o,117_A20_rt1_o,A20
267,120_X5_31_rt2_i,3,7/6/23,120,2,inner,,4.734,11.386,,6/27/24,8.1646,31.88,31.88,,120_X5_31_rt2_i,117_A20_rt2_i,A20
268,120_X5_31_rt2_o,3,7/6/23,120,2,outer,,6.655,13.307,,6/27/24,8.3477,25.42,25.42,,120_X5_31_rt2_o,117_A20_rt2_o,A20
269,120_X5_31_rt3_i,3,7/6/23,120,3,inner,,2.142,8.794,,6/27/24,7.2909,29.66,29.66,,120_X5_31_rt3_i,117_A20_rt3_i,A20
270,120_X5_31_rt3_o,3,7/6/23,120,3,outer,,4.509,11.161,,,,-147.80,,,120_X5_31_rt3_o,117_A20_rt3_o,A20
271,202_X4_67_rt1_i,3,7/6/23,202,1,inner,,4.617,11.269,,6/27/24,8.2023,33.51,33.51,,202_X4_67_rt1_i,202_X4_67_rt1_i,X4_67
272,202_X4_67_rt1_o,3,7/6/23,202,1,outer,,9.412,16.064,,6/27/24,9.8505,33.95,33.95,,202_X4_67_rt1_o,202_X4_67_rt1_o,X4_67
273,202_X4_67_rt2_i,3,7/6/23,202,2,inner,,3.310,9.962,,6/27/24,7.8388,35.76,35.76,,202_X4_67_rt2_i,202_X4_67_rt2_i,X4_67
274,202_X4_67_rt2_o,3,7/6/23,202,2,outer,,7.606,14.258,,4/10/24,9.186,33.27,33.27,,202_X4_67_rt2_o,202_X4_67_rt2_o,X4_67
275,202_X4_67_rt3_i,3,7/6/23,202,3,inner,,0.476,7.128,,6/27/24,6.8333,37.43,37.43,,202_X4_67_rt3_i,202_X4_67_rt3_i,X4_67
276,202_X4_67_rt3_o,3,7/6/23,202,3,outer,,3.223,9.875,,6/27/24,7.642,30.61,30.61,,202_X4_67_rt3_o,202_X4_67_rt3_o,X4_67
277,211_C14_rt1_i,3,7/6/23,211,1,inner,,6.193,12.845,,4/10/24,8.672,32.56,32.56,,211_C14_rt1_i,211_C14_rt1_i,C14
278,211_C14_rt1_o,3,7/6/23,211,1,outer,,6.934,13.586,,4/10/24,8.678,29.17,29.17,,211_C14_rt1_o,211_C14_rt1_o,C14
279,211_C14_rt2_i,3,7/6/23,211,2,inner,,7.087,13.739,,7/14/23,8.867,31.21,31.21,,211_C14_rt2_i,211_C14_rt2_i,C14
280,211_C14_rt2_o,3,7/6/23,211,2,outer,,5.350,12.002,,7/14/23,8.402,32.65,32.65,,211_C14_rt2_o,211_C14_rt2_o,C14
281,211_C14_rt3_i,3,7/6/23,211,3,inner,,2.102,8.754,,7/14/23,7.377,34.33,34.33,,211_C14_rt3_i,211_C14_rt3_i,C14
282,211_C14_rt3_o,3,7/6/23,211,3,outer,,6.593,13.245,,4/10/24,8.561,28.90,28.90,,211_C14_rt3_o,211_C14_rt3_o,C14
283,212_X8_37_rt1_i,3,7/6/23,212,1,inner,,2.960,9.612,,7/14/23,7.671,34.31,34.31,,212_X8_37_rt1_i,212_X8_37_rt1_i,X8_37
284,212_X8_37_rt1_o,3,7/6/23,212,1,outer,,7.334,13.986,,4/10/24,9.192,34.59,34.59,,212_X8_37_rt1_o,212_X8_37_rt1_o,X8_37
285,212_X8_37_rt2_i,3,7/6/23,212,2,inner,,4.050,10.702,,7/14/23,7.963,32.29,32.29,,212_X8_37_rt2_i,212_X8_37_rt2_i,X8_37
286,212_X8_37_rt2_o,3,7/6/23,212,2,outer,,9.635,16.287,,7/14/23,10.111,35.87,35.87,,212_X8_37_rt2_o,212_X8_37_rt2_o,X8_37
287,212_X8_37_rt3_i,3,7/6/23,212,3,inner,,4.392,11.044,,6/27/24,7.9632,29.77,29.77,,212_X8_37_rt3_i,212_X8_37_rt3_i,X8_37
288,212_X8_37_rt3_o,3,7/6/23,212,3,outer,,8.850,15.502,,7/14/23,9.483,31.95,31.95,,212_X8_37_rt3_o,212_X8_37_rt3_o,X8_37
289,213_X4_42_rt1_i,3,7/6/23,213,1,inner,,8.014,14.666,,7/14/23,9.233,32.16,32.16,,213_X4_42_rt1_i,213_X4_42_rt1_i,X4_42
290,213_X4_42_rt1_o,3,7/6/23,213,1,outer,,12.754,19.406,,7/14/23,10.657,31.38,31.38,,213_X4_42_rt1_o,213_X4_42_rt1_o,X4_42
291,213_X4_42_rt2_i,3,7/6/23,213,2,inner,,4.745,11.397,,6/27/24,8.1413,31.31,31.31,,213_X4_42_rt2_i,213_X4_42_rt2_i,X4_42
292,213_X4_42_rt2_o,3,7/6/23,213,2,outer,,7.618,14.27,,6/27/24,8.9939,30.70,30.70,,213_X4_42_rt2_o,213_X4_42_rt2_o,X4_42
293,213_X4_42_rt3_i,3,7/6/23,213,3,inner,,4.281,10.933,,6/27/24,7.8048,26.84,26.84,,213_X4_42_rt3_i,213_X4_42_rt3_i,X4_42
294,213_X4_42_rt3_o,3,7/6/23,213,3,outer,,9.165,15.817,,7/14/23,9.399,29.93,29.93,,213_X4_42_rt3_o,213_X4_42_rt3_o,X4_42
295,219_X2_24_rt1_i,3,7/6/23,219,1,inner,,7.321,13.973,,6/27/24,8.7111,28.08,28.08,,219_X2_24_rt1_i,219_X2_24_rt1_i,X2_24
296,219_X2_24_rt1_o,3,7/6/23,219,1,outer,,11.422,18.074,,6/27/24,9.4576,24.53,24.53,,219_X2_24_rt1_o,219_X2_24_rt1_o,X2_24
297,219_X2_24_rt2_i,3,7/6/23,219,2,inner,,1.677,8.329,,6/27/24,7.0215,21.80,21.80,,219_X2_24_rt2_i,219_X2_24_rt2_i,X2_24
298,219_X2_24_rt2_o,3,7/6/23,219,2,outer,,6.052,12.704,,6/27/24,8.2448,26.26,26.26,,219_X2_24_rt2_o,219_X2_24_rt2_o,X2_24
299,219_X2_24_rt3_i,3,7/6/23,219,3,inner,,2.892,9.544,,6/27/24,7.4139,26.22,26.22,,219_X2_24_rt3_i,219_X2_24_rt3_i,X2_24
300,219_X2_24_rt3_o,3,7/6/23,219,3,outer,,8.470,15.122,,7/14/23,8.565,22.54,22.54,,219_X2_24_rt3_o,219_X2_24_rt3_o,X2_24
301,301_X2_45_rt1_i,3,7/6/23,301,1,inner,,4.033,10.685,,6/27/24,8.1197,36.31,36.31,,301_X2_45_rt1_i,301_X2_45_rt1_i,X2_45
302,301_X2_45_rt1_o,3,7/6/23,301,1,outer,,5.827,12.479,,7/14/23,8.075,24.36,24.36,,301_X2_45_rt1_o,301_X2_45_rt1_o,X2_45
303,301_X2_45_rt2_i,3,7/6/23,301,2,inner,,1.287,7.939,,6/27/24,7.0029,26.98,26.98,,301_X2_45_rt2_i,301_X2_45_rt2_i,X2_45
304,301_X2_45_rt2_o,3,7/6/23,301,2,outer,,4.366,11.018,,7/14/23,7.952,29.70,29.70,,301_X2_45_rt2_o,301_X2_45_rt2_o,X2_45
