Manes.01G011000.v8.1	91	91	0
Manes.01G010900.v8.1	0	0	0
Manes.01G011042.v8.1	0	0	0
Manes.01G011113.v8.1	0	0	0
Manes.01G011184.v8.1	1	1	0
Manes.01G013800.v8.1	0	0	0
Manes.01G014000.v8.1	13	13	0
Manes.01G014100.v8.1	0	0	0
Manes.01G014200.v8.1	0	0	0
Manes.01G014300.v8.1	0	0	0
Manes.01G014400.v8.1	0	0	0
Manes.01G014500.v8.1	0	0	0
Manes.01G014600.v8.1	1	0	1
Manes.01G014700.v8.1	0	0	0
Manes.01G014800.v8.1	20	20	0
Manes.01G014900.v8.1	51	51	0
Manes.01G015200.v8.1	6	6	0
Manes.01G015300.v8.1	33	53	37
Manes.01G015400.v8.1	0	37	20
Manes.01G015500.v8.1	0	0	0
Manes.01G015600.v8.1	2	2	0
Manes.01G015700.v8.1	17	17	0
Manes.01G015800.v8.1	22	22	0
Manes.01G016000.v8.1	31	31	0
Manes.01G016100.v8.1	1	1	0
Manes.01G016300.v8.1	176	176	0
Manes.01G016600.v8.1	120	120	0
Manes.01G016800.v8.1	21	21	0
Manes.01G016900.v8.1	93	93	0
Manes.01G017101.v8.1	12	12	0
Manes.01G017151.v8.1	7	7	0
Manes.01G017200.v8.1	89	88	1
Manes.01G017300.v8.1	213	213	0
Manes.01G017500.v8.1	231	231	0
Manes.01G017600.v8.1	4	5	2
Manes.01G017700.v8.1	14	14	3
Manes.01G017800.v8.1	0	0	0
Manes.01G017900.v8.1	0	0	0
Manes.01G018000.v8.1	0	0	0
Manes.01G018100.v8.1	0	0	0
Manes.01G018200.v8.1	0	0	0
Manes.01G018300.v8.1	246	246	0
Manes.01G018400.v8.1	0	0	0
Manes.01G018500.v8.1	23	23	0
Manes.01G018600.v8.1	538	538	0
Manes.01G018700.v8.1	0	0	0
Manes.01G018800.v8.1	95	95	0
Manes.01G018900.v8.1	0	0	0
Manes.01G019100.v8.1	0	0	0
Manes.01G019200.v8.1	0	0	0
Manes.01G019300.v8.1	0	0	0
Manes.01G019400.v8.1	0	0	0
Manes.01G019500.v8.1	0	0	0
Manes.01G019600.v8.1	58	58	0
Manes.01G019700.v8.1	0	0	0
Manes.01G019801.v8.1	0	0	0
Manes.01G019900.v8.1	0	0	0
Manes.01G020000.v8.1	3	3	0
Manes.01G020100.v8.1	38	38	0
Manes.01G020300.v8.1	0	0	0
Manes.01G020400.v8.1	39	42	103
Manes.01G020500.v8.1	92	195	3
Manes.01G020600.v8.1	33	33	0
Manes.01G020700.v8.1	0	0	0
Manes.01G020800.v8.1	242	242	0
Manes.01G021100.v8.1	1	1	0
Manes.01G021200.v8.1	54	54	0
Manes.01G021300.v8.1	7	7	0
Manes.01G021400.v8.1	171	158	13
Manes.01G021500.v8.1	250	250	0
Manes.01G021600.v8.1	0	0	0
Manes.01G021700.v8.1	31	31	0
Manes.01G021800.v8.1	54	54	0
Manes.01G021900.v8.1	2	2	0
Manes.01G022000.v8.1	2	2	0
Manes.01G022100.v8.1	85	85	0
Manes.01G022150.v8.1	0	0	0
Manes.01G022300.v8.1	29	29	0
Manes.01G022400.v8.1	0	0	0
Manes.01G022500.v8.1	2	2	0
